Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,0,1086712531,4.703172445297241,0.0676185277148961,0.7954430392404636,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,1,1984980876,4.55657958984375,0.07286841767890902,0.7961520355798816,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,2,1953654075,4.656297206878662,0.06395876603723252,0.6751269008207648,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,3,261253038,4.4612486362457275,0.07217769355713913,0.4755811728034049,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,4,540090028,4.328169107437134,0.07384982335428476,0.6359772390650722,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,5,869095512,4.376983880996704,0.05690825567025262,0.7150572341157477,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,6,2028400409,4.515672206878662,0.06531646263546226,0.7548529701742993,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,7,769024199,4.386530876159668,0.06553007653418642,0.5939863816727717,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,8,745834900,4.4219207763671875,0.06305011781476938,0.5540920181071903,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,9,1062619740,4.385680675506592,0.061039504503508014,0.6752480693771887,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,10,1859915496,4.281296253204346,0.06484538397612058,0.6354738810579118,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,11,1375364205,4.234765291213989,0.05524638061099003,0.6350773688634471,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,12,1663365764,4.343795537948608,0.06180343335301198,0.4744450426814689,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,13,1069973281,4.432925701141357,0.06240652633210906,0.7939546461653435,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,14,2032764502,4.156293630599976,0.06555464056738139,0.7957235524360459,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,15,1738183207,4.303265810012817,0.05491171059563141,0.7551934488163158,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,16,1708487345,4.468797206878662,0.06401571798843847,0.59428960515994,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,17,2050502706,4.339135646820068,0.055223416578908856,0.7958642070198308,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,18,33973174,4.234419345855713,0.05461373696699358,0.434782673343151,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,19,434685913,4.251981735229492,0.05356328252709101,0.9992985433493157,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,20,1812608689,4.359420537948608,0.05383358472425678,0.7149216276319755,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,21,2084052603,4.310034275054932,0.06281964583087156,0.7136821065122098,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,22,599999703,4.406295537948608,0.07415229124493398,0.636939473331397,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,23,1398208754,4.44073486328125,0.061360503792878246,0.6338032504818762,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,24,98400669,4.531297445297241,0.06317028762055533,0.7567820307635454,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,25,1455834841,4.47845458984375,0.0657792775063189,0.5940093631956084,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,26,1785736058,4.234419345855713,0.07000429460508896,0.3970055978445675,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,27,1170374427,4.22184157371521,0.06180982184313983,0.5960617399140924,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,28,1493653684,4.484422206878662,0.062433758623562395,0.6345937455979943,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,29,1466704085,4.332728147506714,0.06174198730100536,0.6356465157201587,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,30,258864802,4.093792915344238,0.06478344960912943,0.9999030229400644,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,31,1650233440,4.1845197677612305,0.0564986426616752,0.5954074912083974,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,32,1950053854,4.56254768371582,0.06539512595613324,0.5560003454383352,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,33,231562851,4.070658922195435,0.05983184097694982,0.7562135519917532,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,34,511233635,4.296919584274292,0.0590467229187111,0.4743772937899516,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,35,699550030,4.451620817184448,0.053257326125418364,0.753911945479926,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,36,864944866,4.515672922134399,0.06229754997087049,0.7140238830665802,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,37,2087744588,4.353452205657959,0.07145788109257709,0.5542132789573604,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,38,668178838,4.390671491622925,0.07088393936761497,0.6354956158472759,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,39,1978367492,4.332248210906982,0.0602000216115139,0.6351811487886055,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,40,9155489,4.390671014785767,0.06718545237148424,0.5547456339713601,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,41,1104341091,4.359979629516602,0.05711965426182076,0.5153665742047963,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,42,591449774,4.515671968460083,0.05368346577040751,0.5937618547171062,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,43,511055152,4.164999723434448,0.06318837395474353,0.5155506810771838,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,44,1509200690,4.671924352645874,0.056202553993265125,0.7556366304280416,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,45,236539590,4.556584119796753,0.07509409695936997,0.755346185435119,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,46,1265300326,4.515672922134399,0.05671958885463188,0.7561752637995086,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,47,1493969396,4.572203874588013,0.0645205733123127,0.7942837196859555,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,48,1490049239,4.562547445297241,0.06475096039582164,0.6350935504838331,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,49,1031018765,4.494078874588013,0.07275003087230549,0.5550680385135918,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,50,1011506854,4.390671253204346,0.06629772703196529,0.5957062532521482,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,51,1712498177,4.415955066680908,0.06679884126602033,0.5961354731821956,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,52,1640771411,4.81255030632019,0.07459878607891836,0.7940345566167193,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,53,1226839433,4.150325059890747,0.07624687859667317,0.39547841828155805,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,54,322196933,4.531297206878662,0.05440779631766853,0.7140202644977607,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,55,1299191502,4.369077444076538,0.07199681381272041,0.8354943724268606,20.0,4.0
Status quo (no rapid test),0.0,1.0,0.0,56,2130447669,4.562548398971558,0.06452661736090243,0.4360573401135106,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,57,30578059,4.275326251983643,0.07407399626963976,0.5170236310948979,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,58,1373593898,4.60942530632019,0.05943460131682042,0.6339551859442415,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,59,289568835,4.290951490402222,0.06013330073860442,0.5565713050291596,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,60,1041880507,4.640674114227295,0.05695465567692887,0.8338137998765096,20.0,4.0
Status quo (no rapid test),0.0,1.0,0.0,61,1776145500,4.197201251983643,0.05409667498489387,0.5154286357925006,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,62,313735750,4.46879768371582,0.060657727456425815,0.6367968222497409,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,63,424076738,4.337826490402222,0.056755672078358285,0.7557639512687715,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,64,706973201,4.3505470752716064,0.05743489953865101,0.512280833453768,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,65,391356322,4.128313064575195,0.056732944853661135,0.5957099162744587,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,66,1592087331,4.506499290466309,0.06050239937093513,0.6762351366610021,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,67,1527510874,4.061373233795166,0.06859969003591548,0.39730129998109176,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,68,441846862,4.497502326965332,0.05863639692610027,0.6312668895621971,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,69,1181023661,4.399129152297974,0.06844530151893913,0.7543578291424791,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,70,392437986,4.337551116943359,0.05746414702592572,0.6356648747315401,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,71,442463148,4.429229259490967,0.05598730791138631,0.6343439144892138,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,72,1235262303,4.301562309265137,0.06203836799251221,0.5946371512557073,14.0,10.0
