Transmission parameter,"2.15 (1.67, 2.84)"
Time until natural recovery,"2.94 (0.916, 4.84)"
Time until screened,"1.89 (1.36, 2.62)"
Time until seeking treatment (symptomatic),"7.78 (1.52, 13.7)"
Time until seeking retreatment (symptomatic),"7.52 (1.34, 13.7)"
Prob symptomatic,"54.7% (39.3%, 64.4%)"
Exponent for the prob of resistance by antibiotics-0,"-4.07 (-4.93, -3.06)"
Exponent for the prob of resistance by antibiotics-1,"-3.99 (-4.95, -3.05)"
Exponent for the prob of resistance by antibiotics-2,"-3.67 (-4.76, -3.03)"
Fitness-f_min-0,"1 (1, 1)"
Fitness-f_min-1,"0.952 (0.904, 0.998)"
Fitness-f_min-2,"0.948 (0.902, 0.996)"
Fitness-f_min-3,"0.947 (0.903, 0.998)"
Fitness-f_min-4,"0.905 (0.806, 0.998)"
Fitness-f_min-5,"0.904 (0.815, 0.995)"
Fitness-f_min-6,"0.903 (0.806, 0.993)"
Fitness-f_min-7,"0.863 (0.707, 0.99)"
Fitness-b-0,"0.303 (0.111, 0.486)"
Fitness-b-1,"0.29 (0.106, 0.489)"
Fitness-b-2,"0.306 (0.111, 0.494)"
Fitness-b-3,"0.289 (0.108, 0.493)"
Fitness-b-4,"0.298 (0.114, 0.491)"
Fitness-b-5,"0.3 (0.109, 0.496)"
Fitness-b-6,"0.303 (0.111, 0.49)"
Fitness-b-7,"0.309 (0.114, 0.488)"
Fitness-t_mid-0,"9.86 (7.1, 12.8)"
Fitness-t_mid-1,"10.1 (7.21, 12.9)"
Fitness-t_mid-2,"10.2 (7.22, 12.9)"
Fitness-t_mid-3,"9.84 (7.07, 12.8)"
Fitness-t_mid-4,"10.4 (7.35, 12.9)"
Fitness-t_mid-5,"10.1 (7.07, 12.9)"
Fitness-t_mid-6,"9.82 (7.1, 12.8)"
Fitness-t_mid-7,"10 (7.24, 12.8)"
Initial prevalence,"4.69% (3.3%, 5.87%)"
Initial % I by symptom states-0,"2.47% (0.0653%, 4.93%)"
Initial % I by resistance profile-0,"11.1% (8.65%, 13.5%)"
Initial % I by resistance profile-1,"0.397% (0.0543%, 0.974%)"
Initial % I by resistance profile-2,"54.5% (50.6%, 58.1%)"
Initial % I by resistance profile-3,"0% (0%, 0%)"
Initial % I by resistance profile-4,"34.1% (30.2%, 38.2%)"
Initial % I by resistance profile-5,"0% (0%, 0%)"
Initial % I by resistance profile-6,"0% (0%, 0%)"
Initial % I by resistance profile-7,"0% (0%, 0%)"
