ID,Seed,LnL,Probability,Message,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
0,668178838,-11.892517846103274,0.8445211736749029,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.040654642160407,0.025022815161335143,0.9749771848386648,"[0.09820613542520833, 0.0067771340531064496, 0.5705738459467214, 0, 0.3244428845749639, 0, 0, 0]",0.09820613542520833,0.0067771340531064496,0.5705738459467214,0,0.3244428845749639,0,0,0,2.2512689532028096,1,0.9195599277738974,0.9071139952886975,0.9021553850449554,0.9938716261581257,0.8735419275032472,0.8907895632648735,0.8469694665682934,-3.6128544679575487,-4.782888195080772,-4.35448686522529,0.5444464884398654,2.8119308893710495,1.585778033253139,0.014989237114099952,0.024217278085169873,1500,0.959345357839593,0.00024386278654468007,1.6485867496336195e-05,4.42092487290534e-05,0.355627516942165,0.6306052795727995,66.71453606263445,41.292832187130806,2.2512689532028096,2.070176716006793,2.042157574609204,2.0309944093164343,2.237472335438978,1.966577820709,2.0054068876152997,1.906756064395944,26669800.94794068,1130199.0520593144,2777.3443404642217,191.66251502990167,16136.26312649162,0.0,9175.49199321068,0.0,0.0,0.0,108215.13682351488,7467.847967469907,628725.7566923302,0.0,357509.5486008031,0.0,0.0,0.0
27,501616922,-14.138026632031107,0.08941254730015581,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05732953999766091,0.028870535935037966,0.971129464064962,"[0.09246400070829812, 0.011784282970811478, 0.5255154776790816, 0, 0.37023623864180893, 0, 0, 0]",0.09246400070829812,0.011784282970811478,0.5255154776790816,0,0.37023623864180893,0,0,0,1.6105668759684453,1,0.9254888377995388,0.9637348878541416,0.928083890333138,0.8382832666860253,0.8264864180780993,0.8105791890582303,0.904033119895645,-4.237720206695344,-4.473215686294958,-3.1772902853840197,0.5965489691254888,3.4925793832317047,3.012263581826248,0.021367825890243195,0.013982221718651334,1500,0.9426704600023391,5.784686045625715e-05,3.36344487092703e-05,0.0006648286316797933,0.28632133740499094,0.3319762606543645,46.79933303165915,71.5193922769847,1.6105668759684453,1.4905616662384704,1.552159487593045,1.4947411718904833,1.3501112620031348,1.3311116483943948,1.3054919922465498,1.456005797682336,26206238.788065024,1593761.211934973,4254.522055484503,542.2271524412679,24180.407219644287,0.0,17035.583913468243,0.0,0.0,0.0,143111.01577372893,18239.1059569039,813365.777376755,0.0,573032.572486547,0.0,0.0,0.0
5,1679190915,-15.067195423822985,0.03530738788798908,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.03939576071746287,0.04833945293833007,0.9516605470616699,"[0.09528283580979065, 0.0031868406790691384, 0.5728294847006289, 0, 0.32870083881051126, 0, 0, 0]",0.09528283580979065,0.0031868406790691384,0.5728294847006289,0,0.32870083881051126,0,0,0,1.8044642729340854,1,0.9545642406692963,0.9479496705407734,0.9946164974257244,0.8925241031334352,0.8524600072976916,0.8663300052166347,0.8980620295663891,-4.91264803901157,-3.0930053306303,-3.5031656495783636,0.5806263057867433,3.9304728800722413,2.3842454973563356,0.003610807760458787,0.025907653648857644,1500,0.9606042392825371,1.2227902325341991e-05,0.0008072251221213296,0.00031393110624008453,0.25442231266117277,0.41941989661249457,276.9463417440259,38.59863241780266,1.8044642729340854,1.7224770685081991,1.7105413130304625,1.7947499348755565,1.6105278568368209,1.5382336272738142,1.5632615429842172,1.6205208472312236,26704797.85205453,1095202.1479454676,5044.413649713335,168.7160387737561,30326.436519484792,0.0,17401.906480596055,0.0,0.0,0.0,99309.5527915047,3321.518718102757,597037.6455311393,0.0,342591.9582161528,0.0,0.0,0.0
7,1457430367,-15.300634516867438,0.02795659524531278,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05212243458760376,0.045258620677613895,0.9547413793223861,"[0.12901244288049968, 0.004233316462107032, 0.5136372717052314, 0, 0.3531169689521618, 0, 0, 0]",0.12901244288049968,0.004233316462107032,0.5136372717052314,0,0.3531169689521618,0,0,0,2.003554890530614,1,0.9635318553562476,0.9030438440452084,0.9370507876268623,0.8613165599285149,0.8821358372251887,0.807606668392254,0.7818011005457255,-4.874419299711724,-4.659148501745033,-3.5345363473956954,0.6347285750627485,4.652258066357671,2.2442128181237138,0.00832597473585558,0.0038462731835690028,1500,0.9478775654123962,1.3353056920538682e-05,2.192055260404548e-05,0.0002920543321029447,0.21494938280217038,0.44559053933042564,120.10605745577485,259.9919330410348,2.003554890530614,1.930488960981046,1.8092979101003424,1.8774326882253638,1.7256950059397806,1.7674075707848445,1.6180842900824364,1.5663814184206046,26350996.31846461,1449003.6815353844,8460.624132775018,277.62050404822,33684.285015107285,0.0,23157.37833114548,0.0,0.0,0.0,178478.8805649425,5856.4706346492185,710578.0126595636,0.0,488510.409693153,0.0,0.0,0.0
6,1481671452,-18.464829409407102,0.0011811142174979856,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04145568665551342,0.01975114940384147,0.9802488505961585,"[0.12132794214706184, 0.001235832583658716, 0.5043427180761288, 0, 0.3730935071931506, 0, 0, 0]",0.12132794214706184,0.001235832583658716,0.5043427180761288,0,0.3730935071931506,0,0,0,2.216561094879694,1,0.9852712464591926,0.9924017898503503,0.9050506345278971,0.9680577951700812,0.8789875427413151,0.923776291497334,0.7796186776570323,-4.930241624216606,-4.309524883256174,-4.653872388418687,0.48607060607346536,2.6298225998561335,1.3199397691716754,0.02706264508994546,0.02592035060645216,1500,0.9585443133444865,1.1742440703640616e-05,4.9031492899374336e-05,2.2188483026964026e-05,0.38025378596058373,0.7576103268920726,36.95130304803533,38.57972506556595,2.216561094879694,2.183913912805069,2.1997191978712602,2.0061000253907175,2.1457592463690176,1.948329590124301,2.047606588105234,1.7280724297361307,26647531.910976723,1152468.089023273,2761.7357044292403,28.130724964001747,11480.136126362759,0.0,8492.566853702332,0.0,0.0,0.0,137064.84592692132,1396.1268910778526,569758.7523876367,0.0,421485.79440817866,0.0,0.0,0.0
31,48210616,-18.731031161370478,0.0009050695323619112,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.037353937491249524,0.02019575983978893,0.9798042401602111,"[0.10853816570366324, 0.004780637548314775, 0.5730152737960994, 0, 0.3136659229519225, 0, 0, 0]",0.10853816570366324,0.004780637548314775,0.5730152737960994,0,0.3136659229519225,0,0,0,2.641843559060627,1,0.9836545949936546,0.9178563733208595,0.9041063393164782,0.8889765783923135,0.9812907524475852,0.8398914331868946,0.9349694055741089,-4.863451578279057,-4.226757334087656,-4.202090119928266,0.5286894402297474,1.350670468640606,2.4141514345611,0.0028884141743782776,0.03378152722089203,1500,0.9626460625087505,1.369457067677203e-05,5.9325671946576206e-05,6.279280446959423e-05,0.7403730393294663,0.4142242220947515,346.2107369748132,29.60197724221167,2.641843559060627,2.5986615561243758,2.424832948000459,2.3885075092291195,2.348537047781488,2.592416653919409,2.2188617730749964,2.4700429020347023,26761560.53774326,1038439.4622567366,2276.270441647808,100.25988437257412,12017.318718246632,0.0,6578.224943629598,0.0,0.0,0.0,110434.04398599682,4864.142800543784,583024.3540674715,0.0,319144.8474148278,0.0,0.0,0.0
2,1599924540,-19.509101405285815,0.00041569072247507426,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05201870459998918,0.003625705696486964,0.996374294303513,"[0.1111772872977544, 0.0011442893925536516, 0.5354522859299121, 0, 0.3522261373797797, 0, 0, 0]",0.1111772872977544,0.0011442893925536516,0.5354522859299121,0,0.3522261373797797,0,0,0,1.9147291705794471,1,0.9903774162191527,0.9734426798162645,0.9367235261879374,0.9982257642491617,0.8123534741203374,0.9119151506721487,0.9866537042042516,-4.704681090072366,-4.020701343424643,-3.260581444677593,0.5708974832965015,3.459498434202205,1.997936539030072,0.0054389813057854845,0.019703118655989175,1500,0.9479812954000109,1.973871652062033e-05,9.534516103087768e-05,0.0005488056266255302,0.2890592434190854,0.5005163980260678,183.857958646832,50.75338668257114,1.9147291705794471,1.896304528717914,1.8638790949312305,1.7935718603600845,1.911331989631832,1.555436893719766,1.7460705400853147,1.8891746287001459,26353880.0121203,1446119.987879699,582.9253617730991,5.99974441129335,2807.4863587198843,0.0,1846.7940129548074,0.0,0.0,0.0,160192.77199775333,1648.7800180792615,771520.7668804018,0.0,507514.4635056054,0.0,0.0,0.0
9,383285649,-20.60580005637267,0.0001388289884936882,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.03854206614100386,0.009410785082345602,0.9905892149176544,"[0.15189710402342965, 0.000409327417238185, 0.5265193987975899, 0, 0.3211741697617422, 0, 0, 0]",0.15189710402342965,0.000409327417238185,0.5265193987975899,0,0.3211741697617422,0,0,0,2.5765206403051697,1,0.9864181284735929,0.9362127881205249,0.949199597372192,0.9772906539794537,0.9669447914210931,0.9827275630174612,0.851602748971197,-3.1698051297693866,-4.439168343441591,-5.383608431794977,0.49223101768069627,1.1564661180359774,2.256685385528222,0.020749430651285233,0.020289119115434313,1500,0.9614579338589961,0.0006763864054684692,3.637740008614306e-05,4.134200814491677e-06,0.864703240677986,0.4431277866258394,48.19409345759853,49.28750205026305,2.5765206403051697,2.5415266679834088,2.412171572310183,2.445632354398809,2.5180095415554002,2.4913532131320237,2.532017849911288,2.1941720600649113,26728530.56128009,1071469.4387199073,1531.6344906741126,4.127399230230577,5309.089178441456,0.0,3238.5175417487194,0.0,0.0,0.0,161221.47030048943,434.4544187706368,558840.3555263552,0.0,340889.7898641974,0.0,0.0,0.0
4,1145434184,-20.91452285919552,0.00010195383107181935,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.051529047147977354,0.022914196621844414,0.9770858033781555,"[0.11841278369595529, 0.003918810014666675, 0.5243246767127125, 0, 0.3533437295766655, 0, 0, 0]",0.11841278369595529,0.003918810014666675,0.5243246767127125,0,0.3533437295766655,0,0,0,2.8540207194053804,1,0.9393756611930182,0.9150180878219842,0.9007966385941734,0.9699690946743063,0.977567470895605,0.8016402655983007,0.9340326695291933,-4.820716959569301,-3.3890589370551263,-3.631754154594076,0.4510482175784717,0.8239041779368459,3.0558685842224658,0.03017179637841015,0.034222543849877066,1500,0.9484709528520227,1.5110646314332404e-05,0.0004082639780547912,0.0002334779360088397,1.2137333767430565,0.32723920300860704,33.14353535527516,29.220504600320417,2.8540207194053804,2.6809976003500027,2.611480581274635,2.570892270518491,2.7683118933833493,2.789997816552773,2.2878979275271822,2.6657485914378363,26367492.489286225,1432507.5107137703,3886.8710592471134,128.63399336853814,17210.83102645913,0.0,11598.422683689445,0.0,0.0,0.0,165740.3309497339,5485.090785701814,733888.206417071,0.0,494569.12379849923,0.0,0.0,0.0
26,1436419530,-22.295672325611836,2.561993111759009e-05,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.034335943688944305,0.028395808606982112,0.9716041913930179,"[0.1106158490667514, 0.003374591981769694, 0.5085389312733155, 0, 0.37747062767816325, 0, 0, 0]",0.1106158490667514,0.003374591981769694,0.5085389312733155,0,0.37747062767816325,0,0,0,2.4145554511757834,1,0.9053679907966851,0.9862476494390704,0.9638804720232261,0.9126500857012929,0.8320379329489508,0.9649600135061317,0.9428598111772204,-3.6451458176596283,-4.396703437822773,-4.297183321097389,0.7004628372676873,4.290403416777805,2.0815512918761274,0.022475871815688754,0.01795619935257928,1500,0.9656640563110557,0.00022638840637608402,4.011405468159797e-05,5.044483187125375e-05,0.23307831522076863,0.4804109338563009,44.49215621980783,55.691072501729444,2.4145554511757834,2.1860612174982026,2.3813496381624106,2.327342848005568,2.2036442394461027,2.00900172658692,2.329949460777888,2.276587296772527,26845460.765447345,954539.2345526515,2998.2330109726413,91.46802346741346,13783.903698902199,0.0,10231.308678870042,0.0,0.0,0.0,102588.93488659587,3129.7124237385456,471636.45849895186,0.0,350079.21533115284,0.0,0.0,0.0
