Transmission parameter,"2.09 (1.71, 2.48)"
Time until natural recovery,"3.48 (1.96, 4.93)"
Time until screened,"1.95 (1.34, 2.56)"
Time until seeking treatment (symptomatic),"7.26 (2.09, 12.4)"
Time until seeking retreatment (symptomatic),"7.58 (3.54, 12.1)"
Prob symptomatic,"58.8% (51.2%, 68.0%)"
Exponent for the prob of resistance by antibiotics-0,"-3.93 (-4.93, -3.22)"
Exponent for the prob of resistance by antibiotics-1,"-3.99 (-4.94, -3.13)"
Exponent for the prob of resistance by antibiotics-2,"-3.99 (-4.94, -3.09)"
Fitness-f_min-0,"1 (1, 1)"
Fitness-f_min-1,"0.947 (0.9, 0.989)"
Fitness-f_min-2,"0.958 (0.908, 0.992)"
Fitness-f_min-3,"0.948 (0.904, 0.991)"
Fitness-f_min-4,"0.9 (0.818, 0.977)"
Fitness-f_min-5,"0.906 (0.816, 0.984)"
Fitness-f_min-6,"0.901 (0.819, 0.991)"
Fitness-f_min-7,"0.833 (0.711, 0.945)"
Fitness-b-0,"0.317 (0.133, 0.487)"
Fitness-b-1,"0.227 (0.102, 0.443)"
Fitness-b-2,"0.307 (0.142, 0.456)"
Fitness-b-3,"0.293 (0.125, 0.477)"
Fitness-b-4,"0.311 (0.142, 0.481)"
Fitness-b-5,"0.243 (0.11, 0.421)"
Fitness-b-6,"0.265 (0.13, 0.479)"
Fitness-b-7,"0.293 (0.123, 0.484)"
Fitness-t_mid-0,"9.81 (7.51, 12.6)"
Fitness-t_mid-1,"9.58 (7.19, 12.5)"
Fitness-t_mid-2,"10.2 (7.25, 12.5)"
Fitness-t_mid-3,"9.69 (7.11, 12.9)"
Fitness-t_mid-4,"10.4 (7.81, 12.9)"
Fitness-t_mid-5,"9.56 (7.21, 12.8)"
Fitness-t_mid-6,"10.2 (7.81, 12.4)"
Fitness-t_mid-7,"10 (7.21, 12.4)"
Initial prevalence,"4.67% (3.82%, 5.8%)"
Initial % I by symptom states-0,"2.26% (0.24%, 4.9%)"
Initial % I by resistance profile-0,"11.2% (8.68%, 13.4%)"
Initial % I by resistance profile-1,"0.361% (0.0669%, 0.892%)"
Initial % I by resistance profile-2,"54.6% (50.9%, 58.4%)"
Initial % I by resistance profile-3,"0% (0%, 0%)"
Initial % I by resistance profile-4,"33.8% (30.8%, 36.6%)"
Initial % I by resistance profile-5,"0% (0%, 0%)"
Initial % I by resistance profile-6,"0% (0%, 0%)"
Initial % I by resistance profile-7,"0% (0%, 0%)"
