Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,0,2081558133,3.9149882793426514,0.12131108949160206,0.7754868885162746,0.20375330336318945,0.7951113080855439,0.646732794233199,0.8241179226240082,0.0,0.0,0.8241179226240082,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1,1497058120,3.8518190383911133,0.1103778360255879,0.7075544076785301,0.17268550659676143,0.7724857009950697,0.7022776496631873,0.8058580438647741,0.0,0.0,0.8058580438647741,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,2,729400634,3.9259848594665527,0.1265201249136915,0.821331249318678,0.19682440513545868,0.7626999539551214,0.6623719888419505,0.7961916871030971,0.0,0.0,0.7961916871030971,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,3,1763909319,3.9379992485046387,0.19826662852757246,0.7252976535231288,0.14641551382166923,0.6410975927436534,0.6010003410111949,0.6755401149341648,0.0,0.0,0.6755401149341648,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,4,1489933983,3.898993492126465,0.1342499977338126,0.7828093348288628,0.16243387106640764,0.7360419431411969,0.6595997828057135,0.7672572788074095,0.0,0.0,0.7672572788074095,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,5,2020945875,3.8468868732452393,0.1509462303519756,0.7254376506027611,0.17022332408898333,0.692361073583897,0.6222675598898593,0.7245822139038434,0.0,0.0,0.7245822139038434,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,6,453741709,4.153914451599121,0.19230475085714047,0.7009935131597443,0.19566676382878304,0.6379585752242933,0.6500819259892587,0.6738333901323941,0.0,0.0,0.6738333901323941,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,7,811108630,3.7432286739349365,0.13162226396083881,0.7516141202677522,0.1113774809319887,0.7412683976072729,0.6730713627375426,0.7696782641121291,0.0,0.0,0.7696782641121291,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,8,1299892732,3.9369819164276123,0.09353943791934358,0.6808707947288898,0.19850862899916139,0.8189997047977248,0.6998277910609616,0.8481524459728482,0.0,0.0,0.8481524459728482,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,9,1657653389,3.908540964126587,0.16756427905832358,0.6538472127342971,0.15999171138698465,0.6468345568250151,0.7057241421912344,0.6783825200297993,0.0,0.0,0.6783825200297993,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,10,1522912140,4.210896253585815,0.19022620291024503,0.6106288549457526,0.10560396263249534,0.6474045037688804,0.6856629734238773,0.6786923574572122,0.0,0.0,0.6786923574572122,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,11,1682934762,4.069641351699829,0.17255539605113612,0.733996809220195,0.18533582971339224,0.6834892943874524,0.6147221278999805,0.7179669738500735,0.0,0.0,0.7179669738500735,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,12,1980183620,3.9689717292785645,0.10026094392243796,0.7381684924552632,0.14930996487970544,0.7650272111325245,0.6916813726605712,0.7947445239378833,0.0,0.0,0.7947445239378833,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,13,522077418,3.8377137184143066,0.17533628134334986,0.8060934829497173,0.23401063299114302,0.6340522528870567,0.5621371146817016,0.6669553239134153,0.0,0.0,0.6669553239134153,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,14,1737010421,3.8480095863342285,0.16148822755226294,0.7720946409590899,0.1846349630169425,0.7047577549413822,0.6213510085964199,0.7345411555041088,0.0,0.0,0.7345411555041088,24.0,0.0
