Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,0,625657653,5.109538793563843,0.20524116659881292,0.6635737476775744,0.19068219158623967,0.5914688436048788,0.6191697951057092,0.0,0.0,0.6191697951057092,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1,1698271443,4.939105272293091,0.17950172339365736,0.7794685268370671,0.20995603748331695,0.6631968094227787,0.6908852342128754,0.0,0.0,0.6908852342128754,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,2,574269003,4.8907811641693115,0.17922913580484945,0.6968959917148368,0.13058977548351755,0.6327585823088584,0.661779415982519,0.0,0.0,0.661779415982519,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,3,1306270088,5.001605749130249,0.16994578356339035,0.6362168911442793,0.12322212864881561,0.6315201808202976,0.6612507791097605,0.0,0.0,0.6612507791097605,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,4,1238154541,4.953283071517944,0.14869010587951545,0.6518188510711713,0.215403513814329,0.6909134679004211,0.71872381774493,0.0,0.0,0.71872381774493,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,5,32646995,4.876600742340088,0.18980079386339505,0.8116083388212014,0.1447713651416525,0.6453588646517444,0.6706992993624311,0.0,0.0,0.6706992993624311,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,6,1220271111,5.000159740447998,0.20262559030584035,0.5791215693737225,0.1399232647319901,0.5828173151058194,0.6067922497058168,0.0,0.0,0.6067922497058168,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,7,963240097,4.9391028881073,0.1664829783908362,0.7752410083244939,0.19387561477564128,0.6230008057833489,0.6484897324600567,0.0,0.0,0.6484897324600567,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,8,1521599456,5.062662363052368,0.21786808954462045,0.8420482286230359,0.3411290549373932,0.5660121845313975,0.5954236818211087,0.0,0.0,0.5954236818211087,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,9,937759813,4.98685359954834,0.20042489815795533,0.8154409149735986,0.12804220872792924,0.625168363045758,0.6516955901751497,0.0,0.0,0.6516955901751497,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,10,865822978,5.109538793563843,0.20872825785058868,0.8785593858388344,0.17243243947012726,0.5680025374571894,0.5956263657547562,0.0,0.0,0.5956263657547562,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,11,227302066,5.203382730484009,0.15273968044741307,0.6571699760516847,0.21086576770553325,0.6823273483002511,0.7074223196593717,0.0,0.0,0.7074223196593717,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,12,947449799,5.468925952911377,0.16045897415024904,0.7252162146127159,0.1273894330929869,0.6194581471173135,0.6505572543264078,0.0,0.0,0.6505572543264078,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,13,1782950357,4.80300760269165,0.15905406217998722,0.8423238203957433,0.14165882793408174,0.6289563989986827,0.6528583171494755,0.0,0.0,0.6528583171494755,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,14,1437994672,5.078288555145264,0.1967717509856927,0.7350865056971314,0.13872432773151688,0.5499361839131041,0.5782325231393965,0.0,0.0,0.5782325231393965,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,15,1562885644,5.032061338424683,0.14781905244398838,0.5985017279989636,0.1718513681650544,0.649235789753081,0.6771057677647985,0.0,0.0,0.6771057677647985,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,16,553549746,5.047037601470947,0.24437444043756934,0.7201915977432274,0.26225856328870184,0.5380606437147264,0.5651784677931622,0.0,0.0,0.5651784677931622,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,17,1939338035,5.0750486850738525,0.134090676367963,0.7121139007518077,0.21658741827489073,0.6469591591675317,0.6761840245107162,0.0,0.0,0.6761840245107162,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,18,145511905,4.93765926361084,0.14539783866635567,0.7915667278770572,0.12389960787837619,0.7079505733953614,0.7362141631145079,0.0,0.0,0.7362141631145079,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,19,1041269999,4.892227411270142,0.1984525080592943,0.6133145993570852,0.17089310841263938,0.5859429754706399,0.6158734882339832,0.0,0.0,0.6158734882339832,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,20,2139080526,4.95328426361084,0.08848877891924876,0.7528541694835398,0.12803288074882005,0.8090360365863581,0.8369252840231847,0.0,0.0,0.8369252840231847,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,21,1411144752,5.012216329574585,0.20054451206875473,0.8729499308950069,0.2234769870359157,0.5680790389915317,0.5970822586968005,0.0,0.0,0.5970822586968005,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,22,1509977740,4.968909978866577,0.12167222811850625,0.7879519384370638,0.22567612807095347,0.6954134239748843,0.7244757304760151,0.0,0.0,0.7244757304760151,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,23,483706708,4.951974153518677,0.18330160191389958,0.6990534471326959,0.1386598311806661,0.6099558291813072,0.6423685179302585,0.0,0.0,0.6423685179302585,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,24,289894276,4.875157356262207,0.14573505094509126,0.770901980483973,0.2207136616071875,0.7434453154434447,0.7696388034118612,0.0,0.0,0.7696388034118612,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,25,531799215,4.892228126525879,0.1569392863701611,0.7509821563470899,0.11601033870457404,0.6546559494145531,0.6830754053875272,0.0,0.0,0.6830754053875272,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,26,621504377,5.109539747238159,0.07281073709507009,0.7732390340840908,0.1611297616836555,0.8311974994933455,0.8538730051640591,0.0,0.0,0.8538730051640591,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,27,1136840914,5.30857253074646,0.23229111372142333,0.8657876677514814,0.2703173911622706,0.5417211327209106,0.5677267466677727,0.0,0.0,0.5677267466677727,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,28,759719521,5.015786647796631,0.25497593075106667,0.7013178449550636,0.16727145258808832,0.5353262960497465,0.5633074619670161,0.0,0.0,0.5633074619670161,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,29,1511148819,4.8958399295806885,0.21363480531915663,0.8326050769280544,0.16393486287183925,0.5691149590280898,0.5979027133204655,0.0,0.0,0.5979027133204655,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,30,1533092559,5.2970452308654785,0.16654368463900673,0.786265814237821,0.2114676942437908,0.627115404725249,0.6530302392790658,0.0,0.0,0.6530302392790658,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,31,1164104192,5.193525552749634,0.1066445954412633,0.6846501461579194,0.12266181692790437,0.7006058651776699,0.7276404899759051,0.0,0.0,0.7276404899759051,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,32,2017903790,4.875157356262207,0.16590876727704088,0.6809421489832055,0.11032984392313393,0.5989777720497823,0.6300096618874197,0.0,0.0,0.6300096618874197,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,33,1623720875,4.983334541320801,0.19880203935288476,0.7832263402708752,0.1683211756105018,0.5410860791776372,0.567022471297422,0.0,0.0,0.567022471297422,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,34,822005099,5.187667369842529,0.15266885119943369,0.7227341127287212,0.20371734824150797,0.6998456340016134,0.7319764412788771,0.0,0.0,0.7319764412788771,29.0,0.0
