Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,0,201255546,3.684627056121826,0.17774664325234332,0.7690796367454721,0.12923433558185032,0.6013029283366753,0.6315344020286884,0.0,0.0,0.6315344020286884,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1,720098724,3.4346206188201904,0.20962841249636285,0.6291567491952822,0.15734762530500848,0.5978738955482951,0.617323278071321,0.0,0.0,0.617323278071321,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,2,144866415,3.01274037361145,0.08446146534507341,0.5881011368470078,0.11921306146272381,0.8732616824822097,0.8934862861044901,0.0,0.0,0.8934862861044901,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,3,1680835334,3.8565025329589844,0.2440787679044476,0.7778228845268327,0.29811714895281843,0.5652848517130552,0.5956536759893065,0.0,0.0,0.5956536759893065,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,4,1802331721,3.122117757797241,0.26794197483234994,0.8168151984101333,0.4038313175298801,0.564064506377838,0.5867211035682569,0.0,0.0,0.5867211035682569,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,5,351049798,3.3096206188201904,0.24363238605926782,0.8057373631844923,0.13107608345944433,0.5550604796844548,0.5765710656479546,0.0,0.0,0.5765710656479546,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,6,1192485129,3.153369188308716,0.11414860840288434,0.8393908385139813,0.19976615978600398,0.6967677939274057,0.7219750217773471,0.0,0.0,0.7219750217773471,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,7,825563396,3.5127501487731934,0.34527856158658604,0.6001819758359708,0.18486306038044922,0.4391109662481068,0.45904911667478104,0.0,0.0,0.45904911667478104,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,8,1857153899,3.715876817703247,0.21426957091179333,0.6663153209411241,0.1076097729391708,0.5311120352635164,0.5524128838862774,0.0,0.0,0.5524128838862774,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,9,323249829,3.1533679962158203,0.1532738165039407,0.7715672542924163,0.1317821910318874,0.6452139514094012,0.6713008485121644,0.0,0.0,0.6713008485121644,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,10,1765374533,3.247119426727295,0.26376325354074165,0.5361063829865956,0.12574582368480344,0.4686322833320953,0.49613881641518964,0.0,0.0,0.49613881641518964,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,11,382228820,3.215867519378662,0.25615304195969407,0.7610342183711906,0.17809060427822007,0.4508512126112575,0.47330162882095034,0.0,0.0,0.47330162882095034,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,12,55720852,3.7471258640289307,0.3064996216957317,0.7953105710265737,0.14122140151874638,0.46426339955126505,0.4855879237459089,0.0,0.0,0.4855879237459089,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,13,1895837387,3.215869188308716,0.3352974765437393,0.6148019882690143,0.1274052124537999,0.48986676022148673,0.5144767286564155,0.0,0.0,0.5144767286564155,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,14,161642000,3.278369903564453,0.27666433715288324,0.5815358285166383,0.17279624028250465,0.47115393328558386,0.4953495040827428,0.0,0.0,0.4953495040827428,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,15,738146507,3.122117757797241,0.15222840661867543,0.7803302724406457,0.17475515611977716,0.5737621113965515,0.6014787659727463,0.0,0.0,0.6014787659727463,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,0,201255546,6.06414532661438,0.14259267313769192,0.555593393969157,0.08885944645661668,0.7128880972771272,0.746924074127222,0.25645293896522414,0.015913756909381432,0.4745573782526167,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,1,720098724,5.087002992630005,0.18756646449515296,0.42199285666218983,0.10450415757326262,0.662979962099166,0.6836886487924104,0.18093919731272767,0.02150992013321997,0.4812395313464628,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,2,144866415,5.2120044231414795,0.08538809141101336,0.4940095489340028,0.10033668557149192,0.966739901660936,0.9746435325769475,0.20698272798018322,0.023281532101195334,0.744379272495569,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,3,1680835334,5.493257761001587,0.21484071847656794,0.47314610828932596,0.09957909924211647,0.6510611745286818,0.6834582918829835,0.2066822692355415,0.02256267556603081,0.4542133470814112,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,4,1802331721,5.540144205093384,0.2158736435994965,0.5379675959195316,0.10706984998539129,0.6781031147360739,0.7019668084447724,0.23570228924670472,0.02379257340779352,0.4424719457902741,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,5,351049798,5.430758237838745,0.18949637735032485,0.4991931366071626,0.11235540458257555,0.6678468681237739,0.6917416852680459,0.21368473281022457,0.02600589092652989,0.45205106153129165,34.0,0.0
