ID,Seed,LnL,Probability,Message,Sensitivity distribution for CIP,Specificity distribution for CIP,Sensitivity distribution for TET,Specificity distribution for TET,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Constant dist. of % I-0,Constant dist. of % I-1,Constant dist. of % I-2,Constant dist. of % I-3,Constant dist. of % I-4,Constant dist. of % I-5,Constant dist. of % I-6,Constant dist. of % I-7,Constant dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Fitness-f_min-0,Fitness-f_min-1,Fitness-f_min-2,Fitness-f_min-3,Fitness-f_min-4,Fitness-f_min-5,Fitness-f_min-6,Fitness-f_min-7,Fitness-b-0,Fitness-b-1,Fitness-b-2,Fitness-b-3,Fitness-b-4,Fitness-b-5,Fitness-b-6,Fitness-b-7,Fitness-t_mid-0,Fitness-t_mid-1,Fitness-t_mid-2,Fitness-t_mid-3,Fitness-t_mid-4,Fitness-t_mid-5,Fitness-t_mid-6,Fitness-t_mid-7,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
64.0,201255546.0,-12.638317733728536,0.184353243582227,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9791133592596523,0.9750171574121194,0.6739932158609593,0.9564798875856001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.0598556480536834,0.021170288342710255,0.9788297116572897,"[0.0958126444397096, 0.0010604344456916755, 0.5396832999887426, 0, 0.36344362112585604, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.0958126444397096,0.0010604344456916755,0.5396832999887426,0.0,0.36344362112585604,0.0,0.0,0.0,1.5813703598081137,1.0,0.9570215259570172,0.9748487422114591,0.929177613010211,0.8076193728310775,0.9537915755586803,0.8663144495045989,0.8472218813788148,0.3239415677279107,0.15578035977658378,0.1876488192418747,0.3835913211185169,0.2770706461917817,0.29910346793789794,0.4889180205914403,0.3875810221127748,9.94138067055076,9.81059023139172,7.660359337878902,12.951597062195253,8.157673043044866,8.165738060307145,10.095943260298679,12.80430194164659,1.0,0.9867252835109661,0.9949187379016026,0.9777142710623979,0.9747616264077512,0.9946754120329593,0.9887609454890545,0.9540464685359321,-3.4956730280280617,-3.7433208901672215,-3.1623753299285147,0.572541534129636,3.861133205257798,2.5754191242468085,0.03420833525188434,0.034957589800942365,1500.0,0.9401443519463166,0.0003193941607393274,0.00018058393399489,0.0006880574000914812,0.2589913237487575,0.38828631448190165,29.23264147865587,28.606091143418663,1.5813703598081137,1.5603781166174995,1.5733350025352917,1.5461283686194718,1.5414591438795677,1.5729502142188445,1.5635972521322368,1.5087008072223271,26136012.9841076,1663987.0158923983,3375.2001625634193,37.35601427574208,19011.469441290454,0.0,12803.059306838448,0.0,0.0,0.0,156055.79614342834,1727.1931345602584,879014.5344339394,0.0,591962.4072555021,0.0,0.0,0.0
77.0,720098724.0,-12.99385587360536,0.12919405538586523,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9785039891658883,0.9850906803169772,0.7895667519384475,0.9574614645895956,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.04806705281631407,0.023299549992015868,0.9767004500079841,"[0.10154916782972442, 0.0022722338289086937, 0.5466627750899536, 0, 0.3495158232514132, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10154916782972442,0.0022722338289086937,0.5466627750899536,0.0,0.3495158232514132,0.0,0.0,0.0,2.556192042684048,1.0,0.9553450806568481,0.9288091137460713,0.9385918051680131,0.9267042870960032,0.8112766413459147,0.9156336045305575,0.8916422596609338,0.49502054387884276,0.3928798660396412,0.2638974679683246,0.28306536977310276,0.37045758381145544,0.4191676706208297,0.39601699898051723,0.19010780126708046,11.191432441806683,9.754035641308462,9.385363281082595,11.425054123866552,7.30330510202262,8.188779703085986,8.857872736236748,8.842446155715628,1.0,0.9949226740182296,0.9867628035717355,0.9835631508612143,0.9959699663579014,0.9896508811110564,0.9931407441359632,0.974275008059915,-3.716650313682142,-3.938559228481012,-4.451754028349,0.5200782628575689,1.3908782157061712,2.074503218710073,0.016365226663276437,0.029309488668372557,1500.0,0.9519329471836859,0.00019202142412903307,0.00011519689451804122,3.53383259032824e-05,0.7189702079648174,0.48204311807325145,61.10517260625541,34.1186436691093,2.556192042684048,2.5432134224113336,2.5223552265066727,2.514176299708686,2.5458905027563667,2.529737707331339,2.5386584674256634,2.4904340229886914,26463735.931706466,1336264.068293531,3161.667481857824,70.74452663249762,17019.990970700543,0.0,10881.948482548769,0.0,0.0,0.0,132534.83665411227,2965.55989369922,713465.8328556324,0.0,456163.48742834735,0.0,0.0,0.0
21.0,144866415.0,-13.195696683959195,0.10558061337885827,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9937829405120162,0.9819277299646515,0.9238340795907408,0.8782843155433636,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.048701675406472286,0.03511519934179618,0.9648848006582038,"[0.10380140767318441, 0.0015058537271906028, 0.5390664895889277, 0, 0.3556262490106972, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10380140767318441,0.0015058537271906028,0.5390664895889277,0.0,0.3556262490106972,0.0,0.0,0.0,1.59303662065386,1.0,0.909380604314335,0.9159959009988854,0.9258495981098854,0.9856336309388819,0.9660758360327842,0.9635821059087348,0.8749111101789172,0.10357699505951522,0.2854008021902903,0.11866618894796908,0.4984900832656517,0.1687806353105749,0.3595761747123358,0.28940895280705053,0.4316291677870079,7.002446544880626,8.28039488950452,11.239448596688684,9.0268042238135,12.990981510051958,12.030377471343764,7.5930327625149125,10.365489250512638,1.0,0.9883351494163517,0.9671715493060331,0.9963745650199122,0.9940117968579818,0.9912767642256334,0.9961597096504644,0.984984832098869,-4.834673462758786,-4.3485922434890565,-4.502162848172408,0.6239049768805809,4.702645852220542,2.816325986857012,0.01740244423573895,0.030153535635669953,1500.0,0.9512983245935277,1.4632769693196604e-05,4.481338569362307e-05,3.146568218596296e-05,0.21264624881922803,0.35507253232286107,57.46319232250869,33.16360681820196,1.59303662065386,1.5744540864996528,1.5407396964990412,1.5872611699647805,1.5834971937567104,1.5791401866146961,1.586918897493106,1.569116908322092,26446093.42370007,1353906.5762999293,4934.999113681398,71.59235096711743,25628.67602636519,0.0,16907.431825927095,0.0,0.0,0.0,135602.4093642329,1967.1929132219993,704216.9892910013,0.0,464577.2854145321,0.0,0.0,0.0
37.0,1680835334.0,-13.326040946599015,0.09267794315582652,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9587809387594423,0.9778235750149952,0.7919382750065082,0.9317157636468963,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.04468624739821655,0.04240657036147933,0.9575934296385207,"[0.10358223562923875, 0.012209837721610708, 0.566777513353834, 0, 0.31743041329531646, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10358223562923875,0.012209837721610708,0.566777513353834,0.0,0.31743041329531646,0.0,0.0,0.0,1.818196437680379,1.0,0.9557361849953316,0.9495997751325351,0.9657837369463453,0.8985392245068812,0.9975416914769399,0.9127900685944261,0.9173719319491052,0.3818454244152891,0.4783925724952497,0.2532113991690661,0.10071779491831859,0.19239133649886836,0.3239451387798742,0.3797429796639308,0.1908972771659797,9.85168814416124,9.621314022585276,10.912406100988617,11.23404390360691,12.71536608979898,12.94078422344875,11.02751626579986,8.567072334893982,1.0,0.996835286013173,0.9867420254541153,0.9860820789417202,0.9601531351304137,0.9991628224968035,0.9841065458212465,0.9812293354738513,-4.570033447070047,-4.716849069055444,-4.283233176085924,0.5147572110677818,3.5490843049972227,1.8813865989549778,0.016200437274929612,0.005768954368798622,1500.0,0.9553137526017834,2.691327524096348e-05,1.9193356540744622e-05,5.209149527190062e-05,0.2817628193818807,0.5315228675251823,61.72672891660233,173.34163802863446,1.818196437680379,1.8124423659832527,1.794090835590194,1.7928909231922978,1.7457470099217656,1.816674284526361,1.789299015910133,1.784067682306042,26557722.322329577,1242277.67767042,5456.788383228655,643.2232345213574,29858.256408123005,0.0,16722.467720752782,0.0,0.0,0.0,123221.11074217228,14524.785615013883,674236.7966368933,0.0,377614.24892971455,0.0,0.0,0.0
120.0,1802331721.0,-13.551060082853994,0.07400342456923527,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.984549309426896,0.9915829019107256,0.8358094656032288,0.9058309460245704,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.050939200244438654,0.030829110900010167,0.9691708890999898,"[0.1258226307643725, 0.010624768091887416, 0.5249588601271681, 0, 0.33859374101657186, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1258226307643725,0.010624768091887416,0.5249588601271681,0.0,0.33859374101657186,0.0,0.0,0.0,2.0934267835406395,1.0,0.9228412351181164,0.9794541412514156,0.9801947287278564,0.806779120079284,0.8851936794727375,0.8832757730459105,0.9106350411325376,0.4952033057424997,0.39954604587905884,0.1338778438000206,0.1714738295686387,0.22986441119294213,0.22891086665367913,0.36126435504569343,0.27268976478095497,12.092302220114513,8.758910152059586,10.237575537526151,12.528216874102458,7.092263592531298,9.921134321056215,12.178651212980489,7.257452135570131,1.0,0.9940702554670691,0.9928834130818516,0.9921494777306485,0.9729024396975837,0.9725620328751803,0.9688896165878833,0.9903031607754018,-4.407705521044322,-4.6549472037724104,-4.8628745279594625,0.5497701978801289,3.2059227002215507,1.6465728684470518,0.0032536960028438904,0.03231902972927857,1500.0,0.9490607997555613,3.911060003541052e-05,2.2133637670293426e-05,1.3712778849032245e-05,0.31192267983594657,0.6073220439634353,307.3427877484408,30.941522947208917,2.0934267835406395,2.0810132975158484,2.0785287298787924,2.076992289957197,2.036700025034954,2.035987408275634,2.028299473659496,2.073127160592178,26383890.233204603,1416109.7667953945,5493.089555374779,463.84980411927444,22918.341589647636,0.0,14782.12409798106,0.0,0.0,0.0,172685.56675394377,14581.98806073856,720481.0274022124,0.0,464703.77953137667,0.0,0.0,0.0
133.0,351049798.0,-13.569970778488194,0.0726171176587026,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.977092571680946,0.9885927233796121,0.8561145172714013,0.9076643854662835,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.05159043092925919,0.04597911312430891,0.9540208868756911,"[0.1052400734273278, 0.006684668014161144, 0.5516179601827252, 0, 0.33645729837578586, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1052400734273278,0.006684668014161144,0.5516179601827252,0.0,0.33645729837578586,0.0,0.0,0.0,2.0386795924609555,1.0,0.9514821733639012,0.9094304207787078,0.999999917505192,0.8621095145664861,0.9838536331081098,0.9426762264235056,0.8780530105626035,0.43859777385024057,0.22992135818562703,0.3736513593423646,0.2689258604177752,0.2208464099393393,0.27676317148554497,0.3391453266083771,0.2002773740805764,9.892045527396945,9.03232352742263,7.452957956402436,8.587356115208951,12.559630059911044,8.797634476600848,7.767051077913314,8.288649524560862,1.0,0.9901510854060791,0.9948703538687055,0.999999987464553,0.9490603064300016,0.9975296083995204,0.995431584012149,0.9747003910234671,-3.13338743174548,-4.567446452156921,-4.653517895503455,0.5856382916531435,3.5717104126856047,1.7512337353809826,0.024615025307409187,0.010473776187682022,1500.0,0.9484095690707408,0.0007355506240085299,2.707407002470682e-05,2.2206601772209958e-05,0.279977905389057,0.5710260028667441,40.625593007170195,95.47654848459318,2.0386795924609555,2.018600811270438,2.028221887576539,2.0386795669051954,1.9348298787335854,2.033643255519671,2.0293660560166513,1.9871017959432558,26365786.02016659,1434213.9798334052,6939.939491359641,440.81299097667767,36375.832335948115,0.0,22187.30200494102,0.0,0.0,0.0,143996.84505680794,9146.431325478441,754762.3576853031,0.0,460364.4589425903,0.0,0.0,0.0
86.0,1192485129.0,-13.712050591238274,0.06299912653122802,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9633452273035161,0.9842907308277139,0.42921753877595153,0.981344027634696,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.04988910418658445,0.0002184815258090833,0.9997815184741909,"[0.10977945642491341, 0.0040039272899365505, 0.5705822777675018, 0, 0.31563433851764827, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10977945642491341,0.0040039272899365505,0.5705822777675018,0.0,0.31563433851764827,0.0,0.0,0.0,2.6226756919714753,1.0,0.9468342574181653,0.9841729108017709,0.9531290442883446,0.8884403276060238,0.9588989014627876,0.8652218211181083,0.857062061473334,0.4066872643072911,0.2563245808569078,0.1699583855526437,0.30318087230068613,0.22043784714566353,0.47935410695042413,0.40614538415550494,0.3259059343956277,9.130891119484101,10.012350927566601,11.980475094902214,12.170676024050483,10.031129299919078,12.628653776618275,11.638842906539772,10.18815536763315,1.0,0.9883750998774473,0.9940615008815974,0.9859846233866681,0.9719523965637608,0.9899457069134705,0.9724138477517315,0.975219098356215,-4.283162487296638,-3.5141256169485695,-3.3139178600470407,0.37666219870086937,0.8048392291894992,2.8498180390387025,0.029173697742242925,0.01584144992514913,1500.0,0.9501108958134156,5.2099974735904225e-05,0.00030610779080899534,0.0004853802935098792,1.242484167933805,0.35089959650101693,34.277451176578836,63.125534892639315,2.6226756919714753,2.5921873489984604,2.6071009346868466,2.5859179044138645,2.549115924221195,2.5963065418934774,2.550326161034917,2.5576834236051846,26413082.90361295,1386917.0963870476,33.26490579306254,1.2132530843155578,172.8954244741512,0.0,95.64218003781633,0.0,0.0,0.0,152221.74004199624,5551.901958019345,791177.4205067373,0.0,437663.01811690535,0.0,0.0,0.0
29.0,825563396.0,-13.883781353288178,0.05305823583485434,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9907537458684632,0.9870162821192221,0.7503019381382973,0.9316143295320144,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.04707645146407116,0.038178299126729445,0.9618217008732706,"[0.11907662019123474, 0.002295212104903918, 0.5352015622952876, 0, 0.34342660540857367, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11907662019123474,0.002295212104903918,0.5352015622952876,0.0,0.34342660540857367,0.0,0.0,0.0,2.1096424407057093,1.0,0.9645564145826278,0.9405375812710395,0.9982749476775337,0.9842609244081493,0.8598217956004484,0.8304390296054586,0.821676068855304,0.3195343506522077,0.33654788134452374,0.4502371997278892,0.2903905229930289,0.44981827434073585,0.4210737169289994,0.41907838385546325,0.40474850325819234,9.097130615279447,10.67486327156263,12.976317647605637,8.008298059323607,10.236341456312012,12.147224170227478,9.647841777176719,7.819679354709337,1.0,0.9932609901388172,0.982842630640607,0.9997988074927507,0.9983344355516847,0.9673806209854596,0.9836104628233423,0.9906860139141649,-3.4841988112049767,-4.927871713032431,-3.4369361603972024,0.6265399430495933,4.858620157778592,1.6572678909381828,0.023878432276966084,0.007639067284055286,1500.0,0.9529235485359289,0.00032794513211567344,1.1806693440228602e-05,0.00036564853657821344,0.2058197528364122,0.6034027482629244,41.87879624595927,130.90603378860916,2.1096424407057093,2.0954255394942236,2.07344652613427,2.109217996453664,2.1061286952578127,2.0408272143471695,2.0750663774943083,2.089993260366889,26491274.64929882,1308725.3507011782,5949.652362541996,114.68006146417132,26741.2967754078,0.0,17159.278714389508,0.0,0.0,0.0,149888.9391575427,2889.1222054597984,673690.555535311,0.0,432291.82588906126,0.0,0.0,0.0
93.0,1857153899.0,-13.955322894498252,0.04939496808863338,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9753642323154615,0.9963496850985284,0.8526760717778363,0.9759614671996121,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.04803727552316632,0.015665465831141718,0.9843345341688583,"[0.0835186470713477, 0.008227805886345965, 0.5598398011612999, 0, 0.3484137458810063, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.0835186470713477,0.008227805886345965,0.5598398011612999,0.0,0.3484137458810063,0.0,0.0,0.0,1.985218664777532,1.0,0.9843715623452257,0.944067852196704,0.9144778033993081,0.9079881388591421,0.8455918398752078,0.9622080512281938,0.9317737087201979,0.33195211310904665,0.4085007222017386,0.3368384773088976,0.4153949801023127,0.3609617559293956,0.4693357784769858,0.3347762999706041,0.3952206246501504,10.742564746997944,8.141711599863816,11.506615099831166,10.741942711980451,11.148849095818019,11.757825731420308,10.34376006057568,8.20218560039838,1.0,0.9990988282196138,0.9867545049127485,0.9874545977103506,0.9815516857796593,0.9721219964328706,0.9933960247216,0.9956183859597431,-3.701623708352669,-3.679498556303497,-3.1250813808179547,0.6158253971241123,2.874907036281984,2.5732821712761713,0.007352305411687297,0.030018159515908645,1500.0,0.9519627244768337,0.00019878165021842194,0.00020917098604244272,0.0007497537026273885,0.3478373343484751,0.3886087624444499,136.0117601222591,33.31316829967649,1.985218664777532,1.9834296417389385,1.9589234607061012,1.9603132979949773,1.948594727053631,1.929874731759332,1.972108329793123,1.9765202028029627,26464563.740455974,1335436.2595440235,1747.2293973536216,172.12760053526645,11711.978015664054,0.0,7288.896080001661,0.0,0.0,0.0,109786.60024978439,10815.58271658089,735918.3919910523,0.0,457995.4534930514,0.0,0.0,0.0
149.0,323249829.0,-14.085660044325417,0.043358874887342816,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9604041454558273,0.9736056843065544,0.7710109007998772,0.961608256963865,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,27799999.999999996,1500.0,0.05110201614674563,0.021658681217008605,0.9783413187829914,"[0.09961861102799179, 0.0017444578038098796, 0.5457776451444075, 0, 0.35285928602379074, 0, 0, 0]",0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.09961861102799179,0.0017444578038098796,0.5457776451444075,0.0,0.35285928602379074,0.0,0.0,0.0,1.7803077361972879,1.0,0.9085755711510766,0.9568588443899867,0.9162752459182827,0.8962643339409454,0.81604369969844,0.9591069465979496,0.8102909693544252,0.16636042720266567,0.19890710860735683,0.12821106733497142,0.40272277533197076,0.19794673803287047,0.49619792011861097,0.475124396383232,0.11962217418160828,7.41218754265623,12.005861019567938,10.442943235798468,8.89663266657089,11.208232669056386,11.684839136380525,8.058942126185242,10.228446147540918,1.0,0.9674311515468099,0.984533091965186,0.9933503760786532,0.9666461404795553,0.9699990519647474,0.9985294905444951,0.9314037020558927,-3.3861411888616955,-4.120476235251816,-3.1432703922527163,0.5771616694474402,2.6832242804571997,2.9806916386132385,0.015950341113040646,0.026212120014886306,1500.0,0.9488979838532544,0.0004110160783147108,7.577461958721839e-05,0.0007190011876398432,0.3726859537174463,0.33549260414782395,62.6945839535947,38.150290759850144,1.7803077361972879,1.7223251633370364,1.7527718801678565,1.7684693592873115,1.7209276020610027,1.726896816316875,1.7776897768375013,1.6581852162928996,26379363.95112047,1420636.0488795284,3065.175334126956,53.67540238199921,16793.08874668473,0.0,10857.163824878671,0.0,0.0,0.0,138456.6146315459,2424.564239459528,758558.3086180397,0.0,490427.45808241086,0.0,0.0,0.0
