Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,0,625657653,4.612552642822266,0.13940022001443597,0.6710315704263917,0.19117969552980882,0.7072386433123319,0.7381580643072233,0.0,0.0,0.7381580643072233,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1,1698271443,4.6563475131988525,0.11978111218297388,0.7682569728812705,0.19283074396251518,0.789275833485759,0.8182906313265687,0.0,0.0,0.8182906313265687,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,2,574269003,4.415552854537964,0.11314362441948728,0.6991615091007685,0.13532123013507094,0.7558265291868009,0.7876319058356621,0.0,0.0,0.7876319058356621,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,3,1306270088,4.547170877456665,0.10614990830034322,0.6430221097848212,0.12983846770079194,0.7541119043357365,0.7865909983510003,0.0,0.0,0.7865909983510003,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,4,1238154541,4.56270694732666,0.10151261250226842,0.6820533977647711,0.21543176152815982,0.8174658552819932,0.8451442237130248,0.0,0.0,0.8451442237130248,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,5,32646995,4.547081470489502,0.12170696421298174,0.8037995604774706,0.16528972262720337,0.7708096463202554,0.7986280734796145,0.0,0.0,0.7986280734796145,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,6,1220271111,4.5313560962677,0.14395654877072647,0.5717067943196257,0.13775483700752816,0.6982693146989213,0.7262961278512647,0.0,0.0,0.7262961278512647,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,7,963240097,4.671886682510376,0.11414455167547505,0.751061232877582,0.17261976555210293,0.7439418562058957,0.7724502712812786,0.0,0.0,0.7724502712812786,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,8,1521599456,4.454310178756714,0.1560118438870223,0.8283566889967813,0.2972044220094393,0.6784904388503813,0.7130582301313462,0.0,0.0,0.7130582301313462,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,9,937759813,4.43751072883606,0.1278534776714888,0.8130462841308398,0.14532026395821676,0.7477410744939946,0.7773723923758401,0.0,0.0,0.7773723923758401,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,10,865822978,4.437514066696167,0.14802598244978166,0.8837402848444131,0.1752659021194162,0.6806454340576703,0.7129677957057245,0.0,0.0,0.7129677957057245,24.0,0.0
