ID,Seed,LnL,Probability,Message,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
42,176492263,-11.298892805174951,0.3150862621992882,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.052046355684757274,0.04137799291451929,0.9586220070854807,"[0.12359452919759636, 0.001520994149508639, 0.5738726829254003, 0, 0.30101179372749476, 0, 0, 0]",0.12359452919759636,0.001520994149508639,0.5738726829254003,0,0.30101179372749476,0,0,0,2.2509915413501913,1,0.9882079999388925,0.9233969876887166,0.9993518601000015,0.9070261820485652,0.9672491101699556,0.8490378231451514,0.8205122636882225,-3.2585444990350707,-3.810640600176952,-4.0551166841598985,0.46145328271383756,1.6171705603380009,1.9064996019909504,0.015830117877068665,0.00293724137754433,1500,0.9479536443152428,0.0005513857029560791,0.0001546533742071902,8.80812188816542e-05,0.6183639651410624,0.5245214837473366,63.17072353886821,340.45550619201964,2.2509915413501913,2.2244478489570376,2.078558808595548,2.2495325839176834,2.041708263574479,2.1772695653710694,1.9111769581861155,1.8469661651362865,26353111.311963744,1446888.688036252,7399.524111990205,91.06093090489387,34357.384441588954,0.0,18021.3803971781,0.0,0.0,0.0,171428.00208717826,2109.648298588476,795972.5088561876,0.0,417509.1789126357,0.0,0.0,0.0
118,1493653684,-11.724136684167014,0.20594364648152041,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05666758497057328,0.037907542003055995,0.962092457996944,"[0.08024299889742588, 0.0031571615168912034, 0.5376228066569385, 0, 0.3789770329287443, 0, 0, 0]",0.08024299889742588,0.0031571615168912034,0.5376228066569385,0,0.3789770329287443,0,0,0,1.9515305198135717,1,0.997921038500281,0.9566999981670409,0.99959235575192,0.9773911492433511,0.9026643045797574,0.9708973107009126,0.7531303060594576,-4.709900029751031,-4.841610801766224,-3.867017275589978,0.4580326315275142,1.7178936720295583,2.3400858729288014,0.005365694176211584,0.03833860316042383,1500,0.9433324150294267,1.9502934861588482e-05,1.4400885528679744e-05,0.00013582594159686817,0.5821082039487213,0.42733474509139335,186.36917557348448,26.083370742945583,1.9515305198135717,1.9474733629973529,1.8670292447285683,1.950734989622217,1.9074086575440612,1.7615769395336902,1.8947357334377508,1.4697567776715676,26224641.137818057,1575358.862181937,4791.949982884206,188.53931538835846,32105.74921870872,0.0,22631.74372106699,0.0,0.0,0.0,121619.56945823107,4785.123059585966,814843.1037594256,0.0,574393.0836666462,0.0,0.0,0.0
159,511233635,-11.79589179159546,0.19168386205358043,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05747343816770006,0.013576502458350443,0.9864234975416496,"[0.1008303846553808, 0.004356069926221161, 0.5507124491133705, 0, 0.34410109630502744, 0, 0, 0]",0.1008303846553808,0.004356069926221161,0.5507124491133705,0,0.34410109630502744,0,0,0,2.358411035947811,1,0.9113514099493555,0.959527859570458,0.9264633575332097,0.8096520559933278,0.8476107710541485,0.9641222437767324,0.7066583513317397,-4.944554174374867,-4.033291037119186,-3.4624185468014046,0.45166527981332105,1.3614164897048353,1.9405540992401302,0.01163648490993572,0.015966144814916563,1500,0.9425265618323,1.136176560904214e-05,9.262089278094354e-05,0.0003448112708699689,0.7345290787661952,0.5153167337058903,85.93660437321222,62.63252723761706,2.358411035947811,2.1493412228511577,2.26296109331035,2.1849814068075846,1.9094923441324994,1.9990145966423374,2.2737965397258115,1.6665908544254606,26202238.418937936,1597761.5810620615,2187.214118912127,94.49192996895891,11946.06217439597,0.0,7464.245809869913,0.0,0.0,0.0,158915.70068716494,6865.469242567061,867961.1312315429,0.0,542327.2658676394,0.0,0.0,0.0
151,1881481959,-11.977160396728788,0.15990483516032472,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05085719859613306,0.046279565157040625,0.9537204348429593,"[0.12167193352086474, 0.005035147354587047, 0.5331432504842011, 0, 0.34014966864034724, 0, 0, 0]",0.12167193352086474,0.005035147354587047,0.5331432504842011,0,0.34014966864034724,0,0,0,2.0434634924016124,1,0.9899192055642181,0.9704549084085055,0.9461801974333639,0.8046788684879695,0.9747927485733141,0.9270960286931053,0.8025271175169476,-3.683335849990385,-4.3059364000986715,-3.0540120520775744,0.478573519446761,1.6974607780315252,2.5333764231678892,0.010648949109443492,0.00686985583220243,1500,0.949142801403867,0.0002073309559001641,4.943830812131144e-05,0.0008830553944664192,0.5891152319640979,0.3947301280831921,93.9059798035094,145.56346223635478,2.0434634924016124,2.022863756997687,1.9830891763547314,1.9334846906884289,1.644331890862204,1.9919533943673913,1.8944868885848782,1.639934866308181,26386169.879027497,1413830.1209724988,7961.170207756223,329.4569581581189,34884.332313937324,0.0,22256.483724681733,0.0,0.0,0.0,164062.27428100578,6789.386035292042,718889.6540138118,0.0,458657.36343785573,0.0,0.0,0.0
137,743055457,-13.295360849586917,0.042793165496508745,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05654368120473066,0.04065232063420863,0.9593476793657914,"[0.10906512835267407, 0.004631422765667911, 0.5169623304738894, 0, 0.3693411184077686, 0, 0, 0]",0.10906512835267407,0.004631422765667911,0.5169623304738894,0,0.3693411184077686,0,0,0,2.254579875476629,1,0.9870002090180534,0.9325738170020335,0.9300118587173605,0.8019194319363427,0.9520434185028948,0.807053200216427,0.7099966863437781,-3.220960704932452,-3.6112865354249424,-5.040772687307326,0.5723679771472223,2.074139469069145,2.168106468588038,0.028470872661021093,0.02079945261071399,1500,0.9434563187952694,0.000601228134286263,0.00024474479509270335,9.103896521018267e-06,0.48212765578815725,0.4612319618469853,35.12361605161053,48.078188340634064,2.254579875476629,2.2252708083433297,2.1025621602092093,2.096786020618775,1.8079914129973287,2.1464579319366006,1.819565903646967,1.6007442406857746,26228085.662508484,1571914.337491512,6969.476086392278,295.9570185157526,33034.909088016095,0.0,23601.623464290456,0.0,0.0,0.0,164471.5628915281,6984.242829822228,779585.5901269158,0.0,556970.9759860312,0.0,0.0,0.0
19,1157669990,-13.857697957240921,0.024386782812521383,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04576425122693334,0.03654922898545626,0.9634507710145437,"[0.09550656582774496, 0.0005406335641619804, 0.5185735540580559, 0, 0.3853792465500372, 0, 0, 0]",0.09550656582774496,0.0005406335641619804,0.5185735540580559,0,0.3853792465500372,0,0,0,2.167888761633634,1,0.9626547214606506,0.9426852080672657,0.9772499491127915,0.8914886548151895,0.9482766820274078,0.883948456777118,0.8003302453088952,-4.341263827886124,-3.2752105584611657,-3.136853249266738,0.5742520792712685,2.9101061709468588,1.6929890416545108,0.03181753735345729,0.004289475161533787,1500,0.9542357487730666,4.5575996396821865e-05,0.0005306271185613028,0.0007297040400106843,0.34363007438819004,0.5906712774837148,31.42920801478497,233.12875406473506,2.167888761633634,2.086928351988101,2.0436366683272893,2.1185691819886614,1.9326482358977353,2.0557583618864483,1.916301925310508,1.7350269444006432,26527753.815891247,1272246.1841087467,4441.01874237261,25.139253729732292,24113.471706482145,0.0,17919.987406279048,0.0,0.0,0.0,117066.84518930674,662.6797352764585,635639.7536235905,0.0,472377.28845170967,0.0,0.0,0.0
54,1196383116,-14.496675839595028,0.012872115919029547,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04068511118450643,0.04757214320197052,0.9524278567980294,"[0.11733859549096587, 0.0028909722778016813, 0.5150454826711819, 0, 0.3647249495600504, 0, 0, 0]",0.11733859549096587,0.0028909722778016813,0.5150454826711819,0,0.3647249495600504,0,0,0,2.4452009287917966,1,0.9296764515817773,0.9032740745774344,0.9719435457205516,0.9436412513929565,0.8548582146110535,0.9179485112096919,0.8081196093299298,-3.2018153399791958,-4.694934274906064,-4.331906011059116,0.6157614729578539,3.819693201964431,1.509104373854623,0.015528607849699116,0.011213064781881062,1500,0.9593148888154935,0.000628325463127176,2.0186718415609865e-05,4.656868654212796e-05,0.2618011309090766,0.6626446900062681,64.3972730639454,89.18168399560818,2.4452009287917966,2.2732457228836234,2.208686606110293,2.376597260729085,2.3073924643523105,2.090300100352245,2.2445685521929857,1.9760148193084082,26668953.909070715,1131046.0909292784,6313.554098899155,155.55248294857861,27712.684855585256,0.0,19624.495168283604,0.0,0.0,0.0,126401.80564628963,3114.2704108439248,554827.4949704384,0.0,392896.23329598963,0.0,0.0,0.0
134,11993418,-14.593966780249833,0.011678767791279326,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.055586475118838616,0.04717762882613721,0.9528223711738628,"[0.11140484397769031, 0.001405806187882739, 0.5113931309117863, 0, 0.3757962189226406, 0, 0, 0]",0.11140484397769031,0.001405806187882739,0.5113931309117863,0,0.3757962189226406,0,0,0,1.9824825588075763,1,0.9272834965225727,0.967031755980677,0.9044377914198847,0.8179098198056393,0.9096863761381009,0.8205160416033386,0.9889790549049984,-3.0363630841747327,-3.130705565080329,-3.934696681426745,0.5177154940100078,2.7052258453939158,1.7000068244868813,0.03359037824509664,0.010682603655821611,1500,0.9444135248811614,0.0009196803678495456,0.0007401068689394876,0.00011622600724290409,0.36965490393442074,0.5882329327129809,29.770429874393425,93.61013777339181,1.9824825588075763,1.838323358926106,1.9171235900447563,1.793032147016366,1.6214919524421274,1.8034373746786536,1.6266587417004503,1.9606337273751597,26254695.991696283,1545304.0083037133,8121.834116779286,102.48858353602604,37282.491760929915,0.0,27396.96446604941,0.0,0.0,0.0,164032.51782639534,2069.9093534973335,752975.3632560391,0.0,553322.4389404869,0.0,0.0,0.0
81,1925815380,-14.612773363572284,0.011461182502702063,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.054721974534856256,0.002763587111170812,0.9972364128888291,"[0.0995091820770743, 0.005398749988175125, 0.5860979117371711, 0, 0.30899415619757953, 0, 0, 0]",0.0995091820770743,0.005398749988175125,0.5860979117371711,0,0.30899415619757953,0,0,0,1.6118021216998895,1,0.9929732365202087,0.9514508586794943,0.9886373856349852,0.9998376990687855,0.8219312392980364,0.9884904201040396,0.8742133898299141,-3.4563631466023077,-4.0421890144330925,-4.1468801412186895,0.6019757253131928,3.9199357432585535,2.7490759708723274,0.03260173842414624,0.017336386763144872,1500,0.9452780254651437,0.00034965267359983183,9.074255128447558e-05,7.130497940514712e-05,0.25510622252412807,0.36375859037561753,30.673210949369416,57.68214643929627,1.6118021216998895,1.6004763694144786,1.5335505127127906,1.5934878357583009,1.611540524714604,1.3247905153919945,1.593250956403706,1.4090589965463083,26278729.10793099,1521270.8920690038,418.35298364082666,22.697233746073476,2464.0521101961053,0.0,1299.0623023382173,0.0,0.0,0.0,150962.06920380692,8190.263976822622,889149.6409179904,0.0,468764.75334046263,0.0,0.0,0.0
5,1679190915,-15.067195423822985,0.007275727666481957,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.03939576071746287,0.04833945293833007,0.9516605470616699,"[0.09528283580979065, 0.0031868406790691384, 0.5728294847006289, 0, 0.32870083881051126, 0, 0, 0]",0.09528283580979065,0.0031868406790691384,0.5728294847006289,0,0.32870083881051126,0,0,0,1.8044642729340854,1,0.9545642406692963,0.9479496705407734,0.9946164974257244,0.8925241031334352,0.8524600072976916,0.8663300052166347,0.8980620295663891,-4.91264803901157,-3.0930053306303,-3.5031656495783636,0.5806263057867433,3.9304728800722413,2.3842454973563356,0.003610807760458787,0.025907653648857644,1500,0.9606042392825371,1.2227902325341991e-05,0.0008072251221213296,0.00031393110624008453,0.25442231266117277,0.41941989661249457,276.9463417440259,38.59863241780266,1.8044642729340854,1.7224770685081991,1.7105413130304625,1.7947499348755565,1.6105278568368209,1.5382336272738142,1.5632615429842172,1.6205208472312236,26704797.85205453,1095202.1479454676,5044.413649713335,168.7160387737561,30326.436519484792,0.0,17401.906480596055,0.0,0.0,0.0,99309.5527915047,3321.518718102757,597037.6455311393,0.0,342591.9582161528,0.0,0.0,0.0
