Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,0,1086712531,4.703083753585815,0.06969747189891684,0.9694733771424928,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1,1984980876,4.593924283981323,0.0759155447360496,0.9671535855960447,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,2,1953654075,4.937612295150757,0.07672058657850166,0.8963449283476335,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,3,261253038,5.046949863433838,0.15786674350121285,0.7012380568611013,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,4,540090028,4.578186273574829,0.10264285874871559,0.8612073870941463,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,5,869095512,4.672050952911377,0.06204889813653213,0.9306634359142708,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,6,2028400409,4.812609910964966,0.06921000851942569,0.9487248659236316,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,7,769024199,4.812871694564819,0.08377549564307475,0.8584369663571778,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,8,745834900,5.0313637256622314,0.13038641194000214,0.7436746845773321,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,9,1062619740,4.7190515995025635,0.07237622165039957,0.9011208145618181,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,10,1859915496,4.843859434127808,0.07264901215636822,0.9225731919409026,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,11,1375364205,4.625368118286133,0.06882643724121401,0.8736172667399137,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,12,1663365764,4.875207185745239,0.12571082528213312,0.7056034193236458,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,13,1069973281,4.7031331062316895,0.06422962881827857,0.9660493096141738,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,14,2032764502,4.79708194732666,0.06892642822417773,0.961548250399238,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,15,1738183207,4.81250786781311,0.05908230271264437,0.9412617917957333,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,16,1708487345,5.1251091957092285,0.09529192073595695,0.8246339158816705,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,17,2050502706,4.625107765197754,0.05762503994604892,0.9616083498782682,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,18,33973174,5.000106334686279,0.15305797979668634,0.6503400036185579,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,19,434685913,4.265725612640381,0.05356328252709101,0.9992985433493157,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,20,1812608689,4.625203371047974,0.060751289316732286,0.9144831351222497,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,21,2084052603,4.531253337860107,0.07227920724446174,0.9058294505658188,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,22,599999703,4.843854904174805,0.10519460362512283,0.8578021382614379,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,23,1398208754,4.84393835067749,0.07824641701387294,0.860799266060915,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,24,98400669,4.656351804733276,0.0664348047544613,0.960077117086263,24.0,0.0
