Parameter,Pearson's correlation,P-value,Partial correlation,P-value,Partial rank correlation,P-value
Sensitivity distribution for CIP,0.1170,0.3572,-0.0814,0.5223,0.0681,0.5930
Specificity distribution for CIP,-0.2330,0.0639,-0.3781,0.0021,-0.2379,0.0584
Sensitivity distribution for TET,0.1242,0.3282,-0.0929,0.4653,-0.0444,0.7277
Specificity distribution for TET,-0.4872,0.0000,-0.4425,0.0003,-0.5396,0.0000
Initial prevalence,-0.3114,0.0123,-0.3929,0.0013,-0.2151,0.0878
Initial % I by symptom states-0,0.0509,0.6893,0.0554,0.6635,0.0202,0.8742
Transmission parameter,-0.2538,0.0430,-0.2090,0.0974,-0.1968,0.1190
Exponent for the prob of resistance by antibiotics-0,0.0121,0.9243,0.0893,0.4830,0.0164,0.8974
Exponent for the prob of resistance by antibiotics-1,-0.0535,0.6746,0.0054,0.9660,-0.1085,0.3936
Exponent for the prob of resistance by antibiotics-2,-0.1772,0.1614,-0.3552,0.0040,-0.4529,0.0002
Prob symptomatic,0.2173,0.0846,-0.0210,0.8692,0.0368,0.7726
Time until natural recovery,0.3655,0.0030,0.0410,0.7480,-0.0558,0.6613
Time until screened,-0.2041,0.1058,-0.0836,0.5115,-0.0983,0.4398
Time until seeking treatment (symptomatic),0.0411,0.7472,-0.1570,0.2154,-0.0956,0.4524
Fitness-f_min-1,0.1201,0.3446,0.0883,0.4879,0.1085,0.3933
Fitness-f_min-2,-0.1296,0.3074,-0.2510,0.0455,-0.0194,0.8789
Fitness-f_min-3,0.1688,0.1824,-0.1856,0.1420,-0.1646,0.1936
Fitness-f_min-4,0.3659,0.0029,0.4399,0.0003,0.4640,0.0001
Fitness-f_min-5,-0.0018,0.9887,-0.0991,0.4358,-0.1538,0.2250
Fitness-f_min-6,-0.1147,0.3666,-0.0984,0.4391,-0.1388,0.2739
Fitness-f_min-7,-0.3333,0.0071,-0.4096,0.0008,-0.2049,0.1043
Fitness-b-0,0.0830,0.5146,0.1085,0.3935,0.1198,0.3459
Fitness-b-1,-0.1061,0.4041,-0.0437,0.7319,-0.1404,0.2684
Fitness-b-2,-0.0353,0.7820,0.0984,0.4393,0.1801,0.1544
Fitness-b-3,-0.1298,0.3068,-0.1696,0.1804,-0.2137,0.0899
Fitness-b-4,-0.0749,0.5564,-0.0286,0.8222,-0.1191,0.3485
Fitness-b-5,0.0541,0.6712,0.2294,0.0682,0.1645,0.1941
Fitness-b-6,0.0099,0.9382,-0.0558,0.6612,-0.0685,0.5908
Fitness-b-7,0.0847,0.5059,0.3600,0.0035,0.2557,0.0414
Fitness-t_mid-0,0.0754,0.5539,-0.0984,0.4391,-0.0164,0.8977
Fitness-t_mid-1,0.0047,0.9705,-0.0533,0.6758,-0.1330,0.2949
Fitness-t_mid-2,-0.1758,0.1646,-0.2317,0.0655,-0.1736,0.1700
Fitness-t_mid-3,-0.0398,0.7547,0.0993,0.4350,0.0882,0.4881
Fitness-t_mid-4,-0.2031,0.1075,-0.2480,0.0482,-0.1348,0.2883
Fitness-t_mid-5,-0.0322,0.8005,-0.0075,0.9532,0.0392,0.7587
Fitness-t_mid-6,-0.0538,0.6726,0.0434,0.7337,0.0167,0.8956
Fitness-t_mid-7,-0.2408,0.0553,-0.2303,0.0671,-0.1480,0.2430
