Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,0,1763909319,4.758095026016235,0.19826662852757246,0.7252976535231288,0.14641551382166923,0.6410975927436534,0.6010003410111949,0.6755401149341648,0.0,0.0,0.6755401149341648,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,1,1489933983,4.675555944442749,0.1342499977338126,0.7828093348288628,0.16243387106640764,0.7360419431411969,0.6595997828057135,0.7672572788074095,0.0,0.0,0.7672572788074095,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,2,453741709,4.7189412117004395,0.19230475085714047,0.7009935131597443,0.19566676382878304,0.6379585752242933,0.6500819259892587,0.6738333901323941,0.0,0.0,0.6738333901323941,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,3,811108630,4.346718072891235,0.13162226396083881,0.7516141202677522,0.1113774809319887,0.7412683976072729,0.6730713627375426,0.7696782641121291,0.0,0.0,0.7696782641121291,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,4,1299892732,4.661845684051514,0.09353943791934358,0.6808707947288898,0.19850862899916139,0.8189997047977248,0.6998277910609616,0.8481524459728482,0.0,0.0,0.8481524459728482,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,5,1522912140,4.546606063842773,0.19022620291024503,0.6106288549457526,0.10560396263249534,0.6474045037688804,0.6856629734238773,0.6786923574572122,0.0,0.0,0.6786923574572122,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,6,1980183620,4.962220907211304,0.10026094392243796,0.7381684924552632,0.14930996487970544,0.7650272111325245,0.6916813726605712,0.7947445239378833,0.0,0.0,0.7947445239378833,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,7,2145820292,4.407371759414673,0.09603189266875381,0.8341302488412425,0.217958883789007,0.8048269181885391,0.6194324097504219,0.8313844938136863,0.0,0.0,0.8313844938136863,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,8,188823919,4.593978404998779,0.09208990145501826,0.7658985074662203,0.17662516684102644,0.8118563259740392,0.8042055623138767,0.8408441651621646,0.0,0.0,0.8408441651621646,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,9,317817050,4.6886069774627686,0.21003510216332405,0.6315702775327672,0.1991203289952718,0.6158213840674684,0.6535656188483406,0.6523762413448204,0.0,0.0,0.6523762413448204,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,10,1393278237,4.701281309127808,0.15442198029172308,0.7040756758372388,0.2209255375884567,0.646513976285179,0.617598912638216,0.6839505729646227,0.0,0.0,0.6839505729646227,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,11,593586397,4.579313516616821,0.15887588612875653,0.7687219496053679,0.12807340804900816,0.675453277884336,0.6320067400828048,0.7062111121853768,0.0,0.0,0.7062111121853768,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,12,1133977759,4.7053728103637695,0.13776423261098544,0.6751414367011412,0.18892917295579723,0.7119070710154639,0.6633062238093166,0.7409162842994773,0.0,0.0,0.7409162842994773,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,13,1960497424,4.511565208435059,0.10117772754995101,0.6910963041928465,0.22683485079314722,0.7633209927569118,0.6608549167199798,0.7933412435683436,0.0,0.0,0.7933412435683436,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,14,609630810,4.713638782501221,0.09444070475552245,0.6148797469889583,0.12349843349569718,0.7168997609397403,0.7318594690448208,0.7511524347016154,0.0,0.0,0.7511524347016154,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,15,284694112,4.524954557418823,0.15990031077343717,0.7221845731943012,0.23719463347465222,0.6805559636578673,0.6368459343428198,0.7145294769929386,0.0,0.0,0.7145294769929386,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,16,1485092390,4.701096534729004,0.12608120806923856,0.6117318655742736,0.15576931174133996,0.7351507398260927,0.741146426522808,0.76344705664149,0.0,0.0,0.76344705664149,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,17,964264879,4.613566637039185,0.09457809758598879,0.5911692545499336,0.13618926184832003,0.7806543541052184,0.7774062960566812,0.8136516956867067,0.0,0.0,0.8136516956867067,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,18,2071076345,4.394285678863525,0.1484015043887598,0.500989028940759,0.08763504214053626,0.7142871532587006,0.8335065354935551,0.7454347373309973,0.0,0.0,0.7454347373309973,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,19,1274968857,4.393344402313232,0.12802138532681803,0.8561595319128146,0.1335044220080315,0.706117266855207,0.6221430973087615,0.7348248906737931,0.0,0.0,0.7348248906737931,24.0,0.0
