Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,0,1763909319,6.377020597457886,0.31302829375535574,0.7531850547457638,0.13722153281109548,0.4583605352420682,0.4780162700181403,0.4836056923224686,0.0,0.0,0.4836056923224686,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,1,1489933983,6.166079521179199,0.2581214194624858,0.8153235684152763,0.17712519215002667,0.5275524802390167,0.5017290000786131,0.5517127842073095,0.0,0.0,0.5517127842073095,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,2,453741709,6.303021430969238,0.2996112609644037,0.6865936637364887,0.20333140282229464,0.4561714933915708,0.5639283262375145,0.4824392269857093,0.0,0.0,0.4824392269857093,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,3,811108630,6.056089639663696,0.26030650005512584,0.7830764298134899,0.08609006095940087,0.5308150785210342,0.5210868732649968,0.5523330506292512,0.0,0.0,0.5523330506292512,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,4,1299892732,6.481020927429199,0.1606044280417471,0.7169167794555348,0.22641297396843038,0.5938112546655231,0.5334107643162295,0.6191045340926377,0.0,0.0,0.6191045340926377,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,5,1522912140,6.195079326629639,0.2984731138604686,0.6218253316335463,0.08927911364741295,0.462781639392046,0.5898275216627047,0.48549134409665423,0.0,0.0,0.48549134409665423,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,6,1980183620,6.334022760391235,0.21257033274393275,0.7666132898210716,0.15025539573036228,0.5509576550901627,0.5405281617188638,0.5752900187511977,0.0,0.0,0.5752900187511977,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,7,2145820292,6.128089427947998,0.17717435684133087,0.8776769448873935,0.19478549837703737,0.5811658042766018,0.4499853504720614,0.6032034474169191,0.0,0.0,0.6032034474169191,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,8,188823919,6.256020545959473,0.16177544327924212,0.6244551818942311,0.16781558774688485,0.5864892311893448,0.787690476527176,0.6107206667845673,0.0,0.0,0.6107206667845673,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,9,317817050,6.206082820892334,0.32178022204443074,0.6364426967021344,0.21802471579539137,0.44011650570854266,0.5666092223001372,0.4666534175707032,0.0,0.0,0.4666534175707032,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,10,1393278237,6.373022079467773,0.25010548177642267,0.7011713689034327,0.23426231750115778,0.4624871707909817,0.5238892407488178,0.48991285464330514,0.0,0.0,0.48991285464330514,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,11,593586397,6.214090585708618,0.270871330321154,0.7918034035587898,0.12147883583318109,0.483802934526066,0.4952337721266389,0.5070185379793298,0.0,0.0,0.5070185379793298,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,12,1133977759,6.3740222454071045,0.24882559018846248,0.694693734161784,0.19715394638901756,0.5103712282796086,0.5470444423106943,0.5324082137010808,0.0,0.0,0.5324082137010808,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,13,1960497424,6.083080530166626,0.15784220207850502,0.7235721654629994,0.24707288833900232,0.5508887988700709,0.5300884379783802,0.5749418849230217,0.0,0.0,0.5749418849230217,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,14,609630810,6.247021198272705,0.1997644110573196,0.6188156746609939,0.12423689538704369,0.5146013474629717,0.6284172289822678,0.5411035801726939,0.0,0.0,0.5411035801726939,34.0,0.0
