Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,0,2114683909,4.242759943008423,0.07726980114422313,0.7100422650971933,0.21571647172967232,0.9698436919540866,0.7802322539151558,0.5959540444904627,0.0,0.0,0.5959540444904627,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,1,986208138,4.222047328948975,0.07837908609771023,0.7706476813737307,0.16158854047412038,0.9646584362314615,0.8132038486788814,0.5564437920883354,0.0,0.0,0.5564437920883354,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,2,1033931326,4.264046907424927,0.07328544771321002,0.7000009021231395,0.16373861104030143,0.956558961066213,0.8088799185880423,0.5943954526658058,0.0,0.0,0.5943954526658058,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,3,695396926,4.096045255661011,0.0746330652217743,0.6995425267976708,0.14670985767444003,0.9636486389631124,0.8477068945783506,0.5159546925873717,0.0,0.0,0.5159546925873717,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,4,1961342982,4.322757959365845,0.07575820946161287,0.7482422560639931,0.16923623155001347,0.9558292858541704,0.8195021810884406,0.6340264177077375,0.0,0.0,0.6340264177077375,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,5,2021041766,4.251045227050781,0.06782423234248781,0.6362266373396331,0.16524995469651693,0.9598234769694042,0.8327132267467262,0.43604966972470033,0.0,0.0,0.43604966972470033,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,6,1150402562,4.2300474643707275,0.07039538388406186,0.7225522820957379,0.18971822200140387,0.9612480039493576,0.7993729406790107,0.5155061609749256,0.0,0.0,0.5155061609749256,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,7,1992340928,4.210045576095581,0.05708929084339763,0.6426297645857006,0.1453280425743396,0.9663530977712963,0.8553040899882938,0.594894824901012,0.0,0.0,0.594894824901012,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,8,596865782,4.2287561893463135,0.06886188576652623,0.6893106248828296,0.1495288010848263,0.9588364305227735,0.8287639792104265,0.5154563085353351,0.0,0.0,0.5154563085353351,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,9,1412933653,4.4390480518341064,0.07130100018719426,0.7823317989913346,0.1486321045392245,0.9514793005569434,0.8195480806780714,0.5553076059787491,0.0,0.0,0.5553076059787491,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,10,465654247,4.563050270080566,0.07219908205019461,0.7760454630288338,0.16668615748368265,0.9581892902610177,0.8160751210917979,0.6333205199813228,0.0,0.0,0.6333205199813228,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,11,1136163917,4.200875759124756,0.07255606943252797,0.8198062347905436,0.17889661575038074,0.9539951429120415,0.7990875691835823,0.5154176135060956,0.0,0.0,0.5154176135060956,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,12,600597301,4.290759086608887,0.054438298480330716,0.6762499039458147,0.10286069364516277,0.9614175082437878,0.8714929454371843,0.5549479742722899,0.0,0.0,0.5549479742722899,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,13,283485519,4.55704927444458,0.0750296122344766,0.7140516520889499,0.16013756867037865,0.9620966556698377,0.8297562295853494,0.5152971052681662,0.0,0.0,0.5152971052681662,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,14,2059112513,4.474049091339111,0.05663542829286739,0.7302978730715145,0.14723774591724711,0.9644597313733714,0.8435737894678708,0.5961644942054759,0.0,0.0,0.5961644942054759,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,15,894642810,4.219687461853027,0.05494230484573829,0.5814546791713343,0.12046663903445673,0.9598725958541999,0.8740054443340055,0.4363986140105579,0.0,0.0,0.4363986140105579,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,16,79458643,4.123660564422607,0.07888237537875906,0.742749575882064,0.11552046411582151,0.9586198318015035,0.8696326467270211,0.5156351528255105,0.0,0.0,0.5156351528255105,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,17,1460543985,4.24904727935791,0.06803828950466681,0.8972777627346816,0.20024973528509807,0.9632527797385212,0.7891135248621407,0.5560330781384895,0.0,0.0,0.5560330781384895,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,18,1160310586,4.2510459423065186,0.06973629241758553,0.6588828273057143,0.15280631292693006,0.951496864636421,0.8118958391056046,0.5938727892850051,0.0,0.0,0.5938727892850051,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,19,457495139,4.089044809341431,0.07894310484588217,0.8661696367758315,0.22081777963190619,0.9674848627789249,0.7678978353198366,0.5958421581003708,0.0,0.0,0.5958421581003708,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,20,567169085,4.2106614112854,0.07749975215823772,0.6893489066934393,0.15058878250750374,0.9659564333873485,0.84760608064826,0.5170750654299034,0.0,0.0,0.5170750654299034,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,21,1100118300,4.270045757293701,0.056017572088859297,0.6225676171520146,0.18139521032082645,0.9641913532849676,0.8089353182406019,0.5149588324157252,0.0,0.0,0.5149588324157252,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,22,1132769411,4.195046663284302,0.061686202461547206,0.7806936268959442,0.22050058379948825,0.9505424976578571,0.761982902466962,0.5544818301391159,0.0,0.0,0.5544818301391159,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,23,769167530,4.085122346878052,0.08150661316641916,0.7440281657501504,0.2056855212977727,0.9517961119062722,0.7739151534066672,0.554685461757725,0.0,0.0,0.554685461757725,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,24,155432522,4.301661729812622,0.06681685374403844,0.825696668720432,0.21711181940016136,0.9642641074982395,0.780252087246941,0.594051928327847,0.0,0.0,0.594051928327847,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,25,896640668,4.058043479919434,0.07649127431529128,0.6511295876044549,0.13602245738414798,0.9475669394300839,0.831488031619712,0.4744431996019784,0.0,0.0,0.4744431996019784,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,26,1806013318,4.035043716430664,0.061130272865157,0.8170712934784664,0.1657456146407327,0.9660482685681301,0.814812410291119,0.556365372429851,0.0,0.0,0.556365372429851,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,27,1975687421,3.9580442905426025,0.05594768344382795,0.7299683502472601,0.21877612371242236,0.9368374013887683,0.7368578813172283,0.4348401749939629,0.0,0.0,0.4348401749939629,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,28,1715568013,4.177660226821899,0.06608465267405075,0.8314264695588522,0.1685459656764553,0.9568577795849742,0.8070465695716942,0.5952192285639333,0.0,0.0,0.5952192285639333,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,29,448006699,4.010042667388916,0.07396537423713115,0.6638187273800362,0.1605174766083062,0.9672440512853991,0.8336565991056204,0.5172226626208274,0.0,0.0,0.5172226626208274,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,30,1577629530,4.0630433559417725,0.05648500068021598,0.7371532839730659,0.16430562056769113,0.9612181315823041,0.8146356438676204,0.5552994525432386,0.0,0.0,0.5552994525432386,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,31,762041545,3.9490444660186768,0.05981963161574781,0.6382950590977883,0.25650266078626305,0.9592132270426884,0.7505296564092155,0.47605022947250897,0.0,0.0,0.47605022947250897,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,32,1191135949,4.421661853790283,0.0739065931486678,0.7566683088577116,0.192539512115411,0.9547081982305511,0.8103824386885523,0.5943579423678337,0.0,0.0,0.5943579423678337,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,33,1681244314,4.651050090789795,0.06565910389552228,0.6682923692809573,0.13051986741054736,0.955952393333442,0.8456621587386531,0.5937315803046619,0.0,0.0,0.5937315803046619,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,34,881031684,4.616049528121948,0.05575025232019835,0.8023277762630091,0.2000631100895878,0.9590066449265332,0.7795391931326736,0.5944154394473489,0.0,0.0,0.5944154394473489,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,35,1459414639,4.431877374649048,0.07336471247566771,0.6501571350906298,0.12966276835944382,0.9609481256610014,0.8501267565227192,0.4764343689055711,0.0,0.0,0.4764343689055711,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,36,1717144779,4.146043539047241,0.06792350487282496,0.7174356589548748,0.16313062585025373,0.9375715555260176,0.8026516807654338,0.5541639604515788,0.0,0.0,0.5541639604515788,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,37,234383320,4.049043416976929,0.06339609773311111,0.874166789487103,0.23378423587994235,0.9495616769941396,0.739633933203655,0.43482868057058033,0.0,0.0,0.43482868057058033,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,38,809921203,4.284045696258545,0.054358509979641714,0.6706383625762422,0.1718326513282478,0.9618300831253308,0.8228545402915567,0.5556113544645115,0.0,0.0,0.5556113544645115,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,39,633889183,4.590051651000977,0.06208912195847518,0.6544941153712621,0.09943529499622031,0.9678672046825896,0.8900176921413379,0.5555447193812941,0.0,0.0,0.5555447193812941,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,40,526735776,4.309045791625977,0.06618847377490535,0.8090038062022294,0.237180771365575,0.9668854150431214,0.756135869208778,0.47579327298234736,0.0,0.0,0.47579327298234736,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,41,1580902692,3.9730417728424072,0.07246519576712153,0.6830863740944495,0.15279533311365326,0.960694531296153,0.8151630534536719,0.51645140507711,0.0,0.0,0.51645140507711,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,42,1782693368,4.185043811798096,0.06093684042256697,0.8001513847652225,0.13075212902644992,0.9492649763695772,0.848112713328723,0.43631683056342824,0.0,0.0,0.43631683056342824,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,43,363244612,4.510604619979858,0.05720130031673386,0.6727623821458454,0.12722038359467852,0.9596931308887342,0.8540926663847296,0.5946242777200653,0.0,0.0,0.5946242777200653,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,44,945660547,4.262044668197632,0.05903890489768417,0.7354199114951071,0.1647890748616521,0.9519648179577086,0.8206214262615272,0.5150979604318858,0.0,0.0,0.5150979604318858,12.0,12.0
