Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,0,1763909319,4.0420005321502686,0.0803121036420293,0.6842432114678536,0.17339501817420824,0.9622449003458765,0.804562455255832,0.43682733293006953,0.0,0.0,0.43682733293006953,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,1,1489933983,4.040002107620239,0.07065142599301093,0.7521000666601233,0.14936130301762218,0.9560175482500154,0.8231079610319552,0.5552018944323325,0.0,0.0,0.5552018944323325,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,2,453741709,4.000999927520752,0.08129554128680747,0.7384775878824245,0.18983368550352087,0.9576930337128026,0.7936789966632262,0.43622300104116946,0.0,0.0,0.43622300104116946,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,3,811108630,3.9730982780456543,0.06683735878369762,0.7317547694539874,0.14329931686796396,0.9664464894819323,0.8296651959532452,0.556882268722442,0.0,0.0,0.556882268722442,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,4,1299892732,4.255998849868774,0.07306528389428543,0.6591914211702817,0.1854059167559513,0.9536288000628889,0.7950037830916377,0.6327065475628882,0.0,0.0,0.6327065475628882,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,5,1522912140,3.957001209259033,0.08094294114286922,0.5871336252490245,0.14058905580215672,0.9539468569392003,0.8358644068128873,0.4763342449752386,0.0,0.0,0.4763342449752386,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,6,1980183620,4.109002113342285,0.0624893169049377,0.7182578165690252,0.1490919776151095,0.9566691684439182,0.8252749557984399,0.5542374431357577,0.0,0.0,0.5542374431357577,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,7,2145820292,4.069097518920898,0.0703414194981481,0.8137375260820214,0.23742716385998072,0.9504038413790419,0.7244191235251866,0.6329331859685362,0.0,0.0,0.6329331859685362,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,8,188823919,4.046998977661133,0.06901323975058268,0.8748004227720767,0.18553650307738803,0.9695367401375727,0.812802150258898,0.5960607377975828,0.0,0.0,0.5960607377975828,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,9,317817050,3.937002182006836,0.07920659844699257,0.6081408165969652,0.17207897584463672,0.9523251185872675,0.8119768848717771,0.43591454054268075,0.0,0.0,0.43591454054268075,10.0,14.0
