Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,0,1629730358,4.083694696426392,0.07390310681710555,0.8322034809280363,0.21419435695812616,0.9518770891862037,0.7576012217114372,0.4358113701016137,0.0,0.0,0.4358113701016137,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,1,1508997185,3.9711480140686035,0.07885328184939307,0.6308169240725445,0.2779417875329082,0.9649298707299474,0.7167288977833683,0.356913723249923,0.0,0.0,0.356913723249923,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,2,1489933983,4.021068572998047,0.06599644978366184,0.754273316325695,0.17252526677544033,0.9341461154307433,0.7858257715097782,0.5132125229496048,0.0,0.0,0.5132125229496048,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,3,362444020,4.181002855300903,0.07873935377544658,0.6699510774435786,0.21308995151467983,0.9567793322862289,0.7810320429295876,0.5936621978033564,0.0,0.0,0.5936621978033564,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,4,1980183620,4.046697378158569,0.05967763880253796,0.7550862376163282,0.15899827847042564,0.9567129235295421,0.8134092261170628,0.3941361763456107,0.0,0.0,0.3941361763456107,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,5,676251585,4.115147113800049,0.07910905598691453,0.834077150126478,0.29459302890487077,0.9538920058500957,0.6739552692429202,0.595109647075645,0.0,0.0,0.595109647075645,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,6,332223580,3.9660708904266357,0.07849781843485944,0.7548691397872687,0.15787108408540634,0.9578071282930617,0.825065775895368,0.39671548222555836,0.0,0.0,0.39671548222555836,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,7,789227114,4.0729992389678955,0.06709827198902216,0.6176350077644386,0.17869680666613438,0.9464496456614968,0.8003668189895428,0.4342009753791292,0.0,0.0,0.4342009753791292,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,8,1670191350,4.027695655822754,0.08167529382649169,0.5557436797530283,0.18100030687551924,0.965308704410828,0.803423569931178,0.35567378679788214,0.0,0.0,0.35567378679788214,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,9,1568317111,3.9421472549438477,0.06862242673065229,0.574335987293262,0.1630251728141845,0.9450765435398332,0.8242286172160738,0.3131852394939776,0.0,0.0,0.3131852394939776,7.0,17.0
