Scenarios,sensitivity,specificity,rapid test coverage,if M is available for 1st-Tx,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,False,0,273773726,4.3234169483184814,0.057613546813383765,0.995579198730721,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,1,1984980876,4.522114038467407,0.08660942633434354,0.91500031767485,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,2,1995750289,5.026567459106445,0.09300858301798769,0.8611026846624833,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,3,745834900,4.678369998931885,0.14289924461037437,0.6919580919529219,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,4,769024199,5.1046953201293945,0.08840694293033403,0.8263654818811875,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,5,1938101334,4.350232362747192,0.07157076998103948,0.989521866121793,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,6,496787752,5.042192697525024,0.06200196044913643,0.9743735960033215,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,7,1663525139,4.787748336791992,0.12052066401964666,0.7871660434552016,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,8,2050502706,4.698430061340332,0.05505126032953466,0.9790884530935539,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,9,1375364205,4.8033740520477295,0.07478395315572985,0.8255257234739527,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,10,284801603,5.0109429359436035,0.1192764877081727,0.794415598222993,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,11,176492263,4.631497859954834,0.12635351424065638,0.7341808407071048,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,12,1466704085,4.809711933135986,0.13236365213865497,0.7489254701547056,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,13,1663365764,4.990880966186523,0.14279214456070596,0.6341223826108765,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,14,258864802,4.2911155223846436,0.06715508573361426,0.9998860114106203,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,15,1708487345,4.797048807144165,0.09855594771959508,0.7985074410037992,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,16,33973174,4.886516094207764,0.16130346893134387,0.6007288129144117,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,17,434685913,4.422035217285156,0.052398921722998947,0.9871576152767132,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,18,2068213801,4.589260816574097,0.17326283177902935,0.7212181277514811,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,19,1398208754,4.578290700912476,0.08835628883509465,0.8057354920527625,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,20,1322911642,4.980899333953857,0.1367957408202162,0.6290765708608755,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,21,511233635,4.765802621841431,0.15347427353860738,0.6152690897876495,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,22,1493653684,4.803372859954834,0.08654944205233492,0.8155033551911467,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,23,1455834841,4.843930006027222,0.084086409035436,0.8510831787798168,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,24,1976835803,4.928378105163574,0.09019196056204984,0.8347874213720058,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,25,1531969408,4.531413793563843,0.05112764207276962,0.9414962294542983,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,26,1650233440,4.756497383117676,0.0906656589789937,0.7803910558861672,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,27,1978367492,4.734551429748535,0.07439444126655761,0.8715058236351381,20.0,0.0
