ID,Seed,Sensitivity distribution for CIP,Specificity distribution for CIP,Sensitivity distribution for TET,Specificity distribution for TET,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Constant dist. of % I-0,Constant dist. of % I-1,Constant dist. of % I-2,Constant dist. of % I-3,Constant dist. of % I-4,Constant dist. of % I-5,Constant dist. of % I-6,Constant dist. of % I-7,Constant dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter-base,Transmission factor,Transmission parameter,Fitness-f_min-0,Fitness-f_min-1,Fitness-f_min-2,Fitness-f_min-3,Fitness-f_min-4,Fitness-f_min-5,Fitness-f_min-6,Fitness-f_min-7,Fitness-b-0,Fitness-b-1,Fitness-b-2,Fitness-b-3,Fitness-b-4,Fitness-b-5,Fitness-b-6,Fitness-b-7,Fitness-t_mid-0,Fitness-t_mid-1,Fitness-t_mid-2,Fitness-t_mid-3,Fitness-t_mid-4,Fitness-t_mid-5,Fitness-t_mid-6,Fitness-t_mid-7,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
0,1629730358,0.9724039387760387,0.9641201429736419,0.8560789801925138,0.9658417662870936,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05310806743057214,0.015470600441047944,0.984529399558952,"[0.11000019423439351, 0.00948400434628054, 0.5447528152568885, 0, 0.33576298616243755, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11000019423439351,0.00948400434628054,0.5447528152568885,0,0.33576298616243755,0,0,0,1.901672947081101,1,1.901672947081101,1,0.9015373003582179,0.9150176803346091,0.8777367569173854,0.7404893350691067,0.8825974232880683,0.9572261022170123,0.7265184600828877,0.2854754287823496,0.49771448292498854,0.16134068126110268,0.497547741129785,0.4074786154478699,0.4457182746762157,0.1509009585047866,0.44333737570007903,9.328494613455616,10.648742959823013,10.371798368580782,13.10218913955785,8.338964109217528,12.875332567787474,8.094681622802257,6.75589095901319,1.0,0.9999214780479563,0.9926482392745889,0.99966934915946,0.9997058060988704,0.9994698162648128,0.9968966498148978,0.9999153174124179,-5.816229299776857,-5.527449523325288,-3.200977917342981,0.5789882726126483,3.941109338468888,2.038513143182649,0.003688616365127321,0.015725507669166153,1500,0.9468919325694278,1.5267597433553501e-06,2.968591753448145e-06,0.0006295381922957936,0.25373566529582703,0.4905536191141452,271.10436570583363,63.590951785979776,1.901672947081101,1.9015236240091473,1.8876923025961734,1.9010441573227164,1.9011134864981265,1.900664711014913,1.895771389988773,1.9015119084952072,26323595.72543009,1476404.2745699054,2512.4991048265974,216.62282140544616,12442.623126357676,0.0,7669.115568736529,0.0,0.0,0.0,159892.25786635184,13785.601735482702,791832.7619029023,0.0,488052.7924438422,0.0,0.0,0.0
1,1508997185,0.9671219847934979,0.9890912753217265,0.8709604684508614,0.968155779425416,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04765655943166017,0.016786225701443336,0.9832137742985567,"[0.09611386845799275, 0.002700517276153126, 0.5294939064213, 0, 0.37169170784455424, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.09611386845799275,0.002700517276153126,0.5294939064213,0,0.37169170784455424,0,0,0,2.5559246356284673,1,2.5559246356284673,1,0.9706980968593504,0.8626478041715362,0.8897554544036933,0.9009540854520648,0.9376737642492114,0.8446040289034391,0.8315547601167346,0.06772091002440073,0.6859859051394982,0.1528886446867938,0.35555919792624074,0.07193580661442545,0.5236089036927662,0.07507998451726507,0.16314251274738908,14.455646669264908,5.80217538855763,8.819563085166735,7.146104722148513,9.968666564729842,6.900801444464651,12.22855466797558,6.856232263716144,1.0,0.9999999433486376,0.9892966837268048,0.9998060856019484,0.9748895349373334,0.999995177809665,0.9568944272740535,0.99167674481963,-3.766423634637978,-3.5896539392567925,-3.0471506747457755,0.4164057818752905,1.1207989145306183,1.9872558447159678,0.018547434208457232,0.027744144314866777,1500,0.9523434405683399,0.00017122862347823686,0.00025724447785618594,0.000897117493282049,0.892220707064828,0.5032064707012734,53.91581330122856,36.04364180963935,2.5559246356284673,2.5559244908318544,2.5285677658828845,2.555429005041284,2.4917441793627098,2.555912310473392,2.445750040365346,2.5346510226643373,26475147.647799846,1324852.3522001524,2137.5023295421943,60.05753447817055,11775.5582686653,0.0,8266.152472434193,0.0,0.0,0.0,125199.18237608552,3517.7291309904467,689725.6891292414,0.0,484170.4809587153,0.0,0.0,0.0
2,1489933983,0.9703420592413313,0.96881092113526,0.87704749283556,0.966189719139941,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.0469485878301492,0.015603096421376167,0.9843969035786239,"[0.11355541174339738, 0.003218305383403157, 0.5637912030209654, 0, 0.3194350798522342, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11355541174339738,0.003218305383403157,0.5637912030209654,0,0.3194350798522342,0,0,0,1.9001016788827618,1,1.9001016788827618,1,0.8212127406479068,0.9384278709450741,0.8604679758539633,0.8446282011702949,0.7577153546152866,0.789633002793212,0.6932233152074542,0.2978559766558026,0.5689151693716232,0.1381828881226383,0.21193672897730692,0.31650993737246025,0.16338556411037727,0.6510865190719073,0.6362155536565968,7.079022551212067,8.651788993301869,9.420559109347478,6.8276070119344325,5.170687387671897,10.451589556335414,7.869715569605452,11.744354281052471,1.0,0.9999834885353244,0.9935769949337516,0.9970850287519966,0.9997065820076623,0.9793602597135931,0.9999969479362051,0.9999324787635882,-4.886931834223059,-3.1032904944152824,-3.1257368743016647,0.5896204532623974,4.080248877452559,1.9654386748874204,0.005660085974812032,0.02308114308095814,1500,0.9530514121698508,1.2973828889810314e-05,0.0007883326348983737,0.0007486229307964958,0.24508308930026218,0.5087922674856694,176.67576154321745,43.32541055234809,1.9001016788827618,1.9000703054210109,1.887897316172911,1.8945629371205355,1.8995441548629064,1.8608840737128558,1.900095879651221,1.8999733816680955,26494829.258321848,1305170.7416781476,2312.522453218497,65.53983950365536,11481.441490954378,0.0,6505.201145086654,0.0,0.0,0.0,145896.6785134789,4134.898184699418,724362.3411075341,0.0,410412.1189436721,0.0,0.0,0.0
3,362444020,0.9850994910876708,0.9554160669151942,0.8561314287237168,0.9676917837149526,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04468090818726971,0.028629743096980034,0.9713702569030199,"[0.11796943802831092, 0.009128642564191287, 0.5502168382257041, 0, 0.32268508118179356, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11796943802831092,0.009128642564191287,0.5502168382257041,0,0.32268508118179356,0,0,0,2.058335967770395,1,2.058335967770395,1,0.9895523761152724,0.8847204828950838,0.9825361452331597,0.9467609864318368,0.9835393967522507,0.8279401635056324,0.752147715696931,0.38303285498620443,0.5994366660287347,0.3726381005211011,0.14849866491593688,0.15909876957016766,0.028726240668512225,0.08522042997454776,0.6451553619477585,11.739445864333575,7.552284410257817,6.698513824485478,7.2498086102373716,14.894534131669694,9.492813332019578,13.145326433628133,12.56728797864594,1.0,0.9999996967421998,0.9998733596777717,0.9988291697717329,0.9910917984690292,0.9935709581527442,0.9540170590500967,0.9999175961875957,-5.987528196323579,-2.3938188836812393,-3.538696640633972,0.5813277169156303,2.797591300604656,2.1302585551022424,0.03000628244669671,0.01659835449812349,1500,0.9553190918127303,1.0291337091014542e-06,0.004038137626266557,0.00028926997587203345,0.3574503537324646,0.4694265856155685,33.326354298517465,60.24693593048961,2.058335967770395,2.0583353435639573,2.0580752994401825,2.0559260057994,2.0399998961510506,2.045102839697887,1.9636876265093468,2.0581663530394416,26557870.7523939,1242129.2476060977,4195.210427774945,324.63133771591663,19566.723855274126,0.0,11475.275631442692,0.0,0.0,0.0,142338.07887084506,11014.322582208004,663873.7034302257,0.0,389341.30147061107,0.0,0.0,0.0
4,1980183620,0.9842288772422509,0.9745726478906478,0.8306260375260461,0.9717300897876396,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.048572056884450016,0.009893265106402371,0.9901067348935977,"[0.12642889678039693, 0.0054022102790590235, 0.5059553473044084, 0, 0.3622135456361358, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.12642889678039693,0.0054022102790590235,0.5059553473044084,0,0.3622135456361358,0,0,0,1.7747689703065432,1,1.7747689703065432,1,0.8953346924350278,0.9917876515227285,0.856360277960564,0.8943833453578944,0.9456781563149032,0.8670441242748363,0.6035339418339488,0.005267170522908659,0.051048161486169835,0.01998510439158503,0.1196240197063866,0.4006397270046006,0.5281376507391028,0.5897060974463489,0.5942718057078661,9.744769213947409,14.597082544077177,8.505207922588081,13.613411292830516,10.217394130601715,12.16403427973468,10.780302793108483,10.87338124909369,1.0,0.9612213987273747,0.9965637951208063,0.9706585217289366,0.999715685447484,0.9999376643662565,0.9999693252388112,0.999909396374492,-4.826832143097544,-5.788641975439334,-2.374905266618712,0.6211604541121866,4.3340027757196555,2.2322773557588147,0.026906485020623646,0.010984022571641982,1500,0.95142794311555,1.4899368341775481e-05,1.626889381429294e-06,0.004217884988249572,0.23073358549798142,0.4479730072162433,37.165761311204584,91.0413278448418,1.7747689703065432,1.7059459120559979,1.7686705005113343,1.7226946251281363,1.7742643776609313,1.7746583389580308,1.7747145296922138,1.7746081698033944,26449696.818612285,1350303.1813877102,1688.9519181343385,72.16762658959217,6759.010606605272,0.0,4838.777196157945,0.0,0.0,0.0,169028.38962377407,7222.454099749197,676434.1044986612,0.0,484259.3258180388,0.0,0.0,0.0
5,676251585,0.984057106158883,0.9916728336071735,0.8462706365674286,0.9591313577462129,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04914238984952925,0.03708889615794888,0.9629111038420511,"[0.1006101609330773, 0.005309186377759754, 0.5458809737366459, 0, 0.348199678952517, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1006101609330773,0.005309186377759754,0.5458809737366459,0,0.348199678952517,0,0,0,2.2996103783470527,1,2.2996103783470527,1,0.8113888077919423,0.8671569426194438,0.9897913289946844,0.8139270209124424,0.7864101246518187,0.9074090666987975,0.8172289217377702,0.1283904164793382,0.006092441922833902,0.00763442120828458,0.17454228874410202,0.5841486889132694,0.25234799899812527,0.3437436751451634,0.5255590643548625,9.004610352570296,6.292438116570002,14.94889694607788,5.463257116580033,9.992911855779179,10.347014269437087,12.75484959992233,8.774281623446683,1.0,0.9110573147153506,0.9361207594437961,0.9996724153469154,0.999970670337842,0.9948103735386026,0.998635534837034,0.9999634630776131,-4.404197531796206,-3.5183719330217462,-4.040526536995767,0.46065482047224926,1.5230686351281693,2.1217623190131856,0.008864982053886717,0.025318039313858252,1500,0.9508576101504708,3.942779303689801e-05,0.00030312940494993325,9.1090579085952e-05,0.6565692293412949,0.4713063244827026,112.80338684516177,39.49752931510116,2.2996103783470527,2.095076856188417,2.1527130138030786,2.298857061279032,2.299542931551561,2.2876762594766786,2.296472640097403,2.299526357661139,26433841.562183082,1366158.4378169128,5097.847276063098,269.0128021162488,27659.411427331623,0.0,17643.036929986167,0.0,0.0,0.0,132351.57301277798,6984.17696580285,718100.4868866998,0.0,458052.89251613506,0.0,0.0,0.0
6,332223580,0.9638963595896269,0.9806753700849786,0.8558390669228898,0.971393553885692,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04590582643558089,0.024593122539467695,0.9754068774605323,"[0.09507598430838893, 0.004009026200768004, 0.546587271063604, 0, 0.3543277184272392, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.09507598430838893,0.004009026200768004,0.546587271063604,0,0.3543277184272392,0,0,0,1.8424605946602615,1,1.8424605946602615,1,0.8292939092786885,0.9346633707870229,0.8378740240474124,0.7996477385563387,0.9059720501298364,0.8453485455416831,0.951487789034216,0.4136910750694846,0.14872559738077082,0.10201902447531994,0.0210843445949315,0.1624303368116669,0.5485546670333595,0.5755359324019022,0.49555013297433914,7.537325956428321,12.147148254745817,11.878010554768638,13.29005219535406,6.578274988220323,12.368545152971826,9.989596660900876,12.997000641754147,1.0,0.9779570082117978,0.9864068309326438,0.9288773860590465,0.9903991856913246,0.9999070683620311,0.9999723177424484,0.9998724663386754,-2.9121575212493327,-2.99923466305875,-3.1191089070027633,0.5709721025394652,4.787696921707336,1.907685449600684,0.01942343861728742,0.03078077033942901,1500,0.9540941735644191,0.0012241721040661265,0.001001763807113145,0.0007601356356175946,0.20886869330972416,0.5241954328525804,51.484189782440026,32.487815898455196,1.8424605946602615,1.801847250902079,1.817415716297103,1.71141998108482,1.8247714726198765,1.8422893717793065,1.8424095911915515,1.8422256189147783,26523818.025090847,1276181.9749091484,2983.9882609927,125.82448878258266,17154.805309945332,0.0,11120.681631879965,0.0,0.0,0.0,118350.26916011829,4990.422485576049,680390.017736207,0.0,441065.96583564684,0.0,0.0,0.0
7,789227114,0.967069324982354,0.9796305950764286,0.8301424206284737,0.9625541666467898,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.0479484060738534,0.01958914057168842,0.9804108594283116,"[0.10294353977005585, 0.005792464969805942, 0.5142641461245748, 0, 0.37699984913556345, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10294353977005585,0.005792464969805942,0.5142641461245748,0,0.37699984913556345,0,0,0,2.210179540950708,1,2.210179540950708,1,0.9425636696429113,0.9133560496086492,0.8694124596476263,0.9504822210356261,0.8361488469074608,0.9011421760946805,0.8663946608007935,0.5203411844810187,0.3337969475694419,0.048608295737483154,0.4537635140189983,0.41602338652104504,0.14188274986572172,0.5390718322739313,0.1446851317620351,5.638678706782403,5.3877577877690666,13.26487550557788,14.135937037752687,13.640467957250577,9.94898271289507,14.252976335824277,12.242023315148108,1.0,0.9999171607832404,0.9686908100427247,0.9990546601746488,0.9995614991933941,0.9826392996557465,0.9996965209962316,0.9817382568364249,-2.7723564071382056,-3.743458699561689,-2.9688063642045734,0.5308679013487934,1.941351276384538,2.004809998426832,0.023047543147274824,0.023584237117860906,1500,0.9520515939261466,0.0016890542272517141,0.00018052664057847115,0.0010744683711379687,0.5151051291770045,0.4988003854653043,43.38857263917267,42.40120191306405,2.210179540950708,2.2099964514086374,2.1409806098633988,2.208090170209471,2.209210375439257,2.171809276233263,2.209508797865471,2.1698178098284777,26467034.31114687,1332965.6888531244,2688.0259124960726,151.25083099768472,13428.286551426927,0.0,9844.08896126066,0.0,0.0,0.0,134532.18049007544,7569.906227637286,672068.1752399808,0.0,492683.77463924966,0.0,0.0,0.0
8,1670191350,0.9866042138721802,0.9666649788574183,0.8280535747517928,0.9653702312027457,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04010051248464329,0.0021710769183599875,0.9978289230816401,"[0.12280347754983618, 0.00262678030468316, 0.5357466362098839, 0, 0.3388231059355966, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.12280347754983618,0.00262678030468316,0.5357466362098839,0,0.3388231059355966,0,0,0,2.1575874476524115,1,2.1575874476524115,1,0.8602067791675584,0.9082216300443947,0.976950491192816,0.9939388684718506,0.7444563406103424,0.8139821502948568,0.7087213925258571,0.6541008682642624,0.5144174829519326,0.23982136911002022,0.4124876675344556,0.16558947476254052,0.01600781922212412,0.04133181137416239,0.07460498877012642,10.048084577683085,8.96978942996226,11.390562116746462,11.930692195171016,9.538341986488021,6.272437298209401,6.445448469486761,13.627681412998962,1.0,0.9999629848655938,0.9966044834218847,0.9998945939133187,0.9995638972313771,0.891218972657928,0.9409721261046058,0.9125980128059032,-5.389864229036915,-3.74252425419091,-2.6359465724497464,0.5771869755177684,2.6985007244162404,1.970449893692555,0.025615421334939093,0.012423164987496916,1500,0.9598994875153567,4.075076546452933e-06,0.0001809154870948105,0.0023123492413061573,0.37057614658092314,0.5074983145732442,39.03898307680824,80.4947854275809,2.1575874476524115,2.1575075842630436,2.150261323705174,2.1573600248028817,2.1566465177929444,1.9228828685164232,2.0302296478740995,1.9690100171825515,26685205.752926912,1114794.2470730832,297.2217551168014,6.357607032319882,1296.6697579684023,0.0,820.0549384233483,0.0,0.0,0.0,136603.3885380091,2921.961964953348,595950.5981775662,0.0,376897.9943340136,0.0,0.0,0.0
9,1568317111,0.9837012373066216,0.9566939482179193,0.8762970207937429,0.9594076232265897,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.047744533018825225,0.01636597674053686,0.9836340232594631,"[0.1009448524929783, 0.00587111818964644, 0.5871033401727258, 0, 0.30608068914464953, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1009448524929783,0.00587111818964644,0.5871033401727258,0,0.30608068914464953,0,0,0,1.9272707888200544,1,1.9272707888200544,1,0.9798116566642402,0.8142206095950382,0.8397438334611169,0.9798329094181091,0.8502048099276779,0.7582793608192996,0.9215952598947295,0.6205545433030263,0.2667259031178584,0.46626767432578514,0.302292410756861,0.583977675849321,0.15980413765113377,0.5615419986488379,0.4136017391118057,8.636076275914455,6.103862448415901,6.3037693938306205,13.53880839843346,14.441186354265808,13.545408776866495,9.550418717920751,14.155503901344247,1.0,0.9998694945142905,0.9999693182279786,0.9951110690843115,0.9999572740945932,0.9792464515895978,0.9999582968966451,0.9991190581006546,-5.776055258779579,-5.1217354460525595,-2.189923584010515,0.6284903670852944,4.532819268293553,2.066715843319625,0.031189943121837503,0.019918073501441595,1500,0.9522554669811748,1.6747297731319228e-06,7.555523382440686e-06,0.006457678446796422,0.2206132521088724,0.48385945423138965,32.06161665937295,50.2056586912195,1.9272707888200544,1.9270192694096657,1.9272116567370885,1.9178484950776886,1.927188444430638,1.8872730812043232,1.9271904156471553,1.9255729752307984,26472701.982076656,1327298.0179233411,2192.77743410612,127.53553213743322,12753.369032944325,0.0,6648.846489906197,0.0,0.0,0.0,131791.125199388,7665.188003973962,766507.7306944878,0.0,399611.44553639746,0.0,0.0,0.0
