ID,Seed,LnL,Probability,Message,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Constant dist. of % I-0,Constant dist. of % I-1,Constant dist. of % I-2,Constant dist. of % I-3,Constant dist. of % I-4,Constant dist. of % I-5,Constant dist. of % I-6,Constant dist. of % I-7,Constant dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Fitness-f_min-0,Fitness-f_min-1,Fitness-f_min-2,Fitness-f_min-3,Fitness-f_min-4,Fitness-f_min-5,Fitness-f_min-6,Fitness-f_min-7,Fitness-b-0,Fitness-b-1,Fitness-b-2,Fitness-b-3,Fitness-b-4,Fitness-b-5,Fitness-b-6,Fitness-b-7,Fitness-t_mid-0,Fitness-t_mid-1,Fitness-t_mid-2,Fitness-t_mid-3,Fitness-t_mid-4,Fitness-t_mid-5,Fitness-t_mid-6,Fitness-t_mid-7,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
376,1724732347,-10.191011518454193,0.07550071738026996,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04577416443476119,0.03956110803252944,0.9604388919674706,"[0.1155635026297907, 0.0065853678970726505, 0.5259189058343645, 0, 0.35193222363877197, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1155635026297907,0.0065853678970726505,0.5259189058343645,0,0.35193222363877197,0,0,0,1.879579024789347,1,0.9483851835557109,0.9495475333078535,0.9761091730394955,0.9107675588876182,0.8828500771018584,0.8136625466601347,0.7561212531568653,0.2319637759217894,0.3050006651849685,0.40771466384492705,0.23189993047376345,0.46796424428741257,0.325951824785067,0.13194683223724502,0.28666150616370156,11.016530072563492,10.598244308282347,12.880992852894167,7.617919804762605,8.219562294338232,8.392982697479075,8.816787570749131,11.413420742697046,1.0,0.9892611393753521,0.9849574558976777,0.9963328655797524,0.9963822447466876,0.9877480276061019,0.9427601283806488,0.935489905869139,-4.399290185821501,-4.3897913923482665,-3.1493436083819457,0.5748887726906748,4.063204875897216,1.9804121207886685,0.017291704815948526,0.026534324986359527,1500,0.9542258355652388,3.9875837193651434e-05,4.07576004574942e-05,0.000709016580907443,0.24611114392285846,0.5049454047987575,57.8311977126557,37.68703370121791,1.879579024789347,1.8593944876091224,1.8513053744151533,1.8726863558519666,1.8727791678983994,1.856550474465478,1.7719921627119795,1.7583272049737944,26527478.228713635,1272521.771286361,5817.740754373823,331.5230356082015,26476.00481416641,0.0,17717.102663457008,0.0,0.0,0.0,141239.3323081435,8048.5009853470265,642767.252791164,0.0,430124.31393410085,0.0,0.0,0.0
1250,1805733537,-10.717286515436049,0.044605945662237065,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04875274634482913,0.017613854994158348,0.9823861450058416,"[0.1082203132307834, 0.002718442263276456, 0.5531637272693618, 0, 0.3358975172365783, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1082203132307834,0.002718442263276456,0.5531637272693618,0,0.3358975172365783,0,0,0,1.8282711069525754,1,0.9047263491347375,0.9671312097927167,0.9393298054411762,0.905280059696246,0.9885580536756347,0.8929630991165634,0.9425063471805195,0.3088543823452162,0.11962702749666523,0.361870559238467,0.2663774533459564,0.1839276585149825,0.44323872498534156,0.37715095680426136,0.42369238383497454,9.517521507398477,8.717603676030837,7.673460639979594,12.09324226028263,10.496709772800042,9.957596271620176,11.736471190323151,12.09115157766789,1.0,0.9694184844403602,0.9978194448263172,0.9807882836376722,0.9711333522616186,0.9988855659968426,0.9756699478041297,0.9869386473099081,-3.3609337036517726,-4.496949416042481,-3.327341350285211,0.602031871996592,3.9528380949623894,2.0635776161173425,0.02944631903495048,0.017477032303329303,1500,0.9512472536551708,0.0004355783609468935,3.1845684191227746e-05,0.0004706072892747279,0.2529827875506535,0.4845952932371488,33.960102069568634,57.2179522612374,1.8282711069525754,1.7723598056480654,1.8242844609314153,1.7931468810123636,1.7754950489379147,1.8262336194639974,1.7837891754922177,1.804391413211563,26444673.651613746,1355326.3483862497,2583.4917835838028,64.89607211120101,13205.41312174358,0.0,8018.720792798955,0.0,0.0,0.0,144090.35016871002,3619.4803538741303,736511.9614179679,0.0,447232.0346754601,0.0,0.0,0.0
21,1668084895,-10.92265434468967,0.036324750166352254,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.046113125858939084,0.006113865428518151,0.9938861345714819,"[0.12210542194634326, 0.01129736015886054, 0.5300280946413871, 0, 0.3365691232534091, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.12210542194634326,0.01129736015886054,0.5300280946413871,0,0.3365691232534091,0,0,0,2.0823721514290883,1,0.9775503233301354,0.9821290828202422,0.9232892926058206,0.8881310273765414,0.8687298373343922,0.9885278047355974,0.9243110233245598,0.23615857519930109,0.41556804686609794,0.13065405137651995,0.27024797234687814,0.2703202085322661,0.11229440566982173,0.44406992712948234,0.265898927363304,11.011883003324503,12.588662154185354,10.14489346470106,11.807154501934574,7.685941674692581,10.791857601433131,8.609018863243637,12.941367093556801,1.0,0.9939362006499051,0.9937970682528782,0.9771534146017139,0.9863317662831231,0.9495235215345935,0.9993604185736256,0.9721723001919705,-4.21815632788736,-3.0050705941940876,-4.481944162522769,0.5226878551977814,2.3227645323311665,1.8047937841851125,0.03447065792653403,0.012596288050117215,1500,0.9538868741410609,6.051230165163695e-05,0.0009883924192617653,3.2965209300143684e-05,0.4305214696025958,0.5540799224613425,29.01018025624173,79.38846714375467,2.0823721514290883,2.0697450645305966,2.0694553391016663,2.034797058240451,2.0539098021778397,1.9772613383705158,2.081040304878235,2.0244245243105192,26518055.10112149,1281944.8988785064,957.0181681350475,88.54462604245043,4154.1686528605505,0.0,2637.9071514804486,0.0,0.0,0.0,155575.40462138734,14394.048600402093,675312.6435349599,0.0,428825.1635232386,0.0,0.0,0.0
1151,1126852960,-10.937227543782175,0.035799220971858774,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04365303717372264,0.008356012634782972,0.991643987365217,"[0.10317499742378668, 0.0070904015980868965, 0.5170728231356729, 0, 0.3726617778424536, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10317499742378668,0.0070904015980868965,0.5170728231356729,0,0.3726617778424536,0,0,0,1.9415003314469155,1,0.98198302888389,0.9039025409118195,0.9875961532305465,0.850866557481892,0.9193601167799823,0.825563291543878,0.8224657676295982,0.10783134742883026,0.2769997623789844,0.15451138695186328,0.1384962975406349,0.13763286199983524,0.12976922309762584,0.23429671124125925,0.3581972993107708,7.264432412708914,10.597340537184373,12.976463884731977,8.670537452386094,8.655978398545416,7.979374170015658,11.35374106331449,8.444646747022892,1.0,0.9958748844504044,0.9593324301250186,0.9963478813730526,0.9559831946731193,0.9768326897424892,0.9477606274424848,0.9844185173063951,-3.5397542867095866,-4.295680612248958,-3.711303055449727,0.5563065384134467,3.1156908666728858,2.037778333627394,0.037929119815577145,0.03316982340381838,1500,0.9563469628262774,0.00028856636799206545,5.0619679111690545e-05,0.00019440030615616266,0.32095610341081676,0.49073050954464076,26.36496720362356,30.147884353369328,1.9415003314469155,1.9334914182401188,1.8625442310554985,1.9344097419222137,1.8560416893155423,1.8965209909032246,1.8400775723119207,1.9112488776328471,26586445.56657051,1213554.4334294891,1046.2436036168199,71.90004850305556,5243.364645677876,0.0,3778.9678809359516,0.0,0.0,0.0,124162.23193909561,8532.688245650832,622252.65227652,0.0,448466.3847894889,0.0,0.0,0.0
170,1054128280,-10.950184964607434,0.03533834771305617,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05332987540671667,0.022516058734918406,0.9774839412650816,"[0.11312557574305591, 0.0014690390883459563, 0.5154249371701096, 0, 0.36998044799848834, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11312557574305591,0.0014690390883459563,0.5154249371701096,0,0.36998044799848834,0,0,0,1.7490327834252515,1,0.9200325999928524,0.9504280076347708,0.9927664742565268,0.800156232326901,0.817598516589843,0.8236632306075451,0.7382642776184877,0.3875141792927508,0.232841719472306,0.41261649621569474,0.23104954626512111,0.22735225795664069,0.36513321900800055,0.49965231119247955,0.20182493988263436,8.840152917742484,11.741542025874816,11.91679085951168,12.712701323516892,10.582962084729756,9.412458405982258,8.782618606488631,10.592148228849828,1.0,0.974418356238742,0.9890820915893693,0.997309787014123,0.9462478935266878,0.9788845660980525,0.9923761733948742,0.9235754892055016,-3.428132021260284,-4.173680694698793,-3.7708242793729205,0.5742113717016191,3.740075900496902,2.442884718649193,0.005894407730030247,0.008965314831107418,1500,0.9466701245932834,0.00037313671065515185,6.70377308188733e-05,0.0001695023488048375,0.26737425298431544,0.40935210424213375,169.65232908902766,111.54097974677344,1.7490327834252515,1.7042896498329052,1.7299370036886241,1.7443275127185562,1.6550185870252638,1.7121011972944964,1.7356984607577368,1.6153638085884368,26317429.463693272,1482570.5363067233,3776.3178408877375,49.038941741013176,17205.732418059353,0.0,12350.556073453554,0.0,0.0,0.0,163940.3276585015,2128.915127323591,746948.0931080893,0.0,536171.5551386671,0.0,0.0,0.0
550,368485754,-10.963542975316578,0.03486943651878904,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05330507456756723,0.04514080714581671,0.9548591928541833,"[0.11224232352779791, 0.0018527721166815292, 0.5539860337165599, 0, 0.33191887063896064, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11224232352779791,0.0018527721166815292,0.5539860337165599,0,0.33191887063896064,0,0,0,2.023432211172265,1,0.9426491525449308,0.9258567803071895,0.9259875820088187,0.9046419723095311,0.8120991188731544,0.9159433048911603,0.7686238558179104,0.47640992391439096,0.26602941669504926,0.24429755473753967,0.40545882063056515,0.2405633133507651,0.28305155955995454,0.34224063018364104,0.1298640434967084,7.491395113695662,10.276314759852625,8.802195147070705,11.73290540587317,12.485908853461964,9.963025160732256,8.265829474774545,11.919770754732117,1.0,0.9872430745859964,0.9865781370957428,0.9843583135824878,0.9662142339203934,0.9634311725358571,0.9923274436422125,0.9070076460329665,-4.013588583584027,-4.697312429410628,-4.160298949601125,0.542638540814355,2.5789641926990416,1.9535090402800044,0.02377075035663212,0.027697065815486744,1500,0.9466949254324327,9.691955611170837e-05,2.0076480004328493e-05,6.913549081691922e-05,0.38775257245950345,0.5118993459363085,42.068507935047016,36.10490752565033,2.023432211172265,1.9976194373740481,1.996273981437853,1.9917823190380153,1.955069003807658,1.9494376677565173,2.0079073134958834,1.8352684867626365,26318118.927021626,1481881.0729783687,7508.260287890283,123.9380553516885,37057.958230611286,0.0,22203.15115449921,0.0,0.0,0.0,158821.51453506807,2621.6498769007394,783883.4598283152,0.0,469661.14100973215,0.0,0.0,0.0
205,157222347,-10.965834979845443,0.03478960713197427,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04801311276796632,0.018719880529342738,0.9812801194706573,"[0.10055023199710203, 0.004991117185773926, 0.5413335042702709, 0, 0.35312514654685306, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10055023199710203,0.004991117185773926,0.5413335042702709,0,0.35312514654685306,0,0,0,1.8320452357233614,1,0.9251801501030288,0.9812605999408563,0.9293800105314886,0.9046934126229194,0.9551484025736957,0.9097658502709587,0.9389035578337935,0.4207964166492336,0.10102056490635576,0.35906209469945194,0.42133051955584133,0.24470018883327305,0.22144955244972875,0.4402488613327834,0.3088442842049265,10.497915370131748,9.46178809557383,8.8527502638016,10.304766547674744,9.191891254767548,10.859509213192995,10.751288797675354,8.071293094312933,1.0,0.9727566691759404,0.9981313066210642,0.9913579800072196,0.9813957110848673,0.987151917744073,0.9878664557955363,0.9935335294405944,-3.6201185838407484,-4.273283809784248,-3.2573976278296235,0.6297562483006944,4.864432463285065,2.1717364982830483,0.011155939460673272,0.0287916984773687,1500,0.9519868872320337,0.00023981780085842024,5.329864770290483e-05,0.0005528437092558203,0.20557382748093014,0.46046101854004357,89.63834946623572,34.73223369527975,1.8320452357233614,1.7821342212819076,1.8286217049214544,1.816212664168562,1.7979613368523717,1.8085069678382084,1.8098160338711349,1.820198369143057,26465235.465050533,1334764.5349494636,2512.411707678109,124.71121152950931,13526.101401001684,0.0,8823.408308848373,0.0,0.0,0.0,131698.47194299445,6537.2549978183015,709026.66167887,0.0,462515.5137007231,0.0,0.0,0.0
1566,555146585,-10.977168656469308,0.03439753895864151,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04966113626151093,0.028607798236276866,0.9713922017637231,"[0.1031510095479971, 0.00757681426243339, 0.5252213827822236, 0, 0.3640507934073461, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1031510095479971,0.00757681426243339,0.5252213827822236,0,0.3640507934073461,0,0,0,2.335894546122624,1,0.9474832354928503,0.9157203863383794,0.9409789548363893,0.9331902916258431,0.8045735417403774,0.8968312646541816,0.9734537625533406,0.16871873259034387,0.15613957473796325,0.32830735182343396,0.22982234179155037,0.35727749497223993,0.16415660220397893,0.35653321272990623,0.25595605869347,7.303766469218418,12.379758608046023,12.371544976767506,12.835276263793844,9.377748011225865,8.310053554144142,9.019026965562926,12.760879642235748,1.0,0.9790015566565029,0.974880929934469,0.9776211233895072,0.992048939016292,0.9510124452617219,0.9889983628744559,0.9903994573835017,-3.0651793857531198,-3.0136404973567443,-3.135814271063385,0.45624960614483767,1.4490796322767878,1.8885028844903173,0.02363196723813081,0.019598897661291546,1500,0.9503388637384891,0.0008606381913252533,0.0009690797143976455,0.0007314518268656859,0.690093199659983,0.5295199749032351,42.31556306435942,51.02327780276297,2.335894546122624,2.2868443968394843,2.277219047352878,2.283619850299823,2.317321706134892,2.2214647841815967,2.3101958819626454,2.313468690984928,26419420.41192999,1380579.5880700038,4073.9844311661886,299.24887287340107,20743.798298694444,0.0,14378.31070189487,0.0,0.0,0.0,138334.19383961265,10161.146240439817,704366.1219883455,0.0,488222.78369697696,0.0,0.0,0.0
155,1938679292,-11.076950375302351,0.031130974902068998,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.038768019012933294,0.048065773482099235,0.9519342265179007,"[0.1098648399921596, 0.00442330550391631, 0.5729389827346701, 0, 0.31277287176925384, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1098648399921596,0.00442330550391631,0.5729389827346701,0,0.31277287176925384,0,0,0,2.0460598751280825,1,0.9415887396901532,0.9855000346734322,0.9710365521373516,0.8714689602880898,0.8267551926619083,0.9294783930600929,0.9721471719591108,0.3331633779325569,0.21624451306311876,0.45153046800541186,0.3852911935799146,0.25161146088698916,0.19093364334899562,0.4251269130989562,0.241736063721373,10.884847335271843,9.742078757153957,9.22475052103586,7.905859720398482,12.825004240274332,12.398311954817697,10.459758004309654,12.525499029524823,1.0,0.9857688134000171,0.9989965783524487,0.9982198420215518,0.9527486570890207,0.9343109840694455,0.9909987411753466,0.9900892416856705,-4.314162873661492,-4.142835792436081,-4.104513153381852,0.5905563776630187,3.538246435747806,1.9145441316440488,0.026718009993552155,0.030289222152313475,1500,0.9612319809870667,4.851065363133756e-05,7.197210544542729e-05,7.861163818528989e-05,0.2826258764501944,0.5223175498917774,37.42793719447405,33.01504393118331,2.0460598751280825,2.016942015250397,2.044006814357193,2.0424175653169905,1.94938079835201,1.9116562153959256,2.0276427606213168,2.0257818702090407,26722249.07144045,1077750.9285595454,5691.320835553593,229.14019424462214,29679.919164051127,0.0,16202.551808415878,0.0,0.0,0.0,112715.6124820423,4538.0814199037295,587805.6014862009,0.0,320888.70116913307,0.0,0.0,0.0
114,1003869780,-11.114082127262233,0.029996225261449627,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04892893157640013,0.03223060697272728,0.9677693930272727,"[0.08883424035796492, 0.00596600163707641, 0.5564588584459532, 0, 0.3487408995590054, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.08883424035796492,0.00596600163707641,0.5564588584459532,0,0.3487408995590054,0,0,0,1.8047315718661308,1,0.9871631913753321,0.9286269515495672,0.9759531439425713,0.8361842997671264,0.9391132793523552,0.8438961180768441,0.9779605304165928,0.33119397553915186,0.14476369954765428,0.39323083578538875,0.3684417576540172,0.48737823261600544,0.41793279016234974,0.12738660437895677,0.1301648165568181,9.966636294100526,11.125213374677301,9.174793204413112,12.32175761908331,10.303886305038858,12.873626362483684,8.857502131762029,10.048753540217518,1.0,0.9953276983400486,0.9933956193756185,0.9934363356655382,0.9847909320093526,0.9821574921246129,0.9509341926289643,0.9924007855295706,-3.55829527238257,-3.3942975243227806,-3.4107473318106916,0.573279129320159,3.4473597068113984,2.376139708023195,0.030141801378921244,0.01943714775972176,1500,0.9510710684235999,0.0002765061069411663,0.00040336896027097177,0.0003883762536977087,0.29007706913327597,0.4208506749933234,33.1765174691689,51.447877659922405,1.8047315718661308,1.796299321547134,1.7928124376406884,1.7928859196145959,1.777283286684751,1.7725306345821497,1.7161809602045206,1.7910170295899648,26439775.702176075,1360224.2978239234,3894.5690272867273,261.55461113724084,24395.63198075605,0.0,15289.099118736794,0.0,0.0,0.0,116939.92318634775,7853.545776471397,732513.2280167927,0.0,459076.74610639474,0.0,0.0,0.0
