Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,0,1724732347,4.103865146636963,0.07932340856008006,0.6907421345323417,0.1787666297651526,0.9501258441613168,0.4744512528446226,0.0,0.0,0.4744512528446226,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1,1805733537,4.0736188888549805,0.05819589679782317,0.7409998506773908,0.14414672924808744,0.9544023178747483,0.5149234317810768,0.0,0.0,0.5149234317810768,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,2,1668084895,4.109408140182495,0.07269994309711617,0.7730382348504952,0.17481242689673737,0.963817261882006,0.5962859837379935,0.0,0.0,0.5962859837379935,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,3,1126852960,4.1250879764556885,0.07403679748863264,0.6862449927536711,0.21808195432762795,0.9493028904393424,0.594229739281944,0.0,0.0,0.594229739281944,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,4,1054128280,4.281260013580322,0.07925739269890543,0.80194470154996,0.19201990534826216,0.9676794263650589,0.7138756195904615,0.0,0.0,0.7138756195904615,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,5,368485754,4.105952739715576,0.06843380079744618,0.757412723572894,0.18630654460186613,0.9670178021874467,0.5964450774464354,0.0,0.0,0.5964450774464354,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,6,157222347,4.053701400756836,0.0674115794836805,0.716907234189448,0.12493302623018482,0.947474826231295,0.5139538087115599,0.0,0.0,0.5139538087115599,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,7,555146585,3.980433464050293,0.07254234568954614,0.6035916416442731,0.2163380885117121,0.9546472073557605,0.35685225362230616,0.0,0.0,0.35685225362230616,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,8,1938679292,4.009452819824219,0.0795047438136322,0.8308115238691428,0.1458401502751738,0.9649361553408236,0.5563965137890767,0.0,0.0,0.5563965137890767,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,9,1003869780,4.097826957702637,0.0805012936153406,0.7681930481820192,0.16310673426034217,0.9578365726878721,0.55420912510933,0.0,0.0,0.55420912510933,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,10,942922926,3.968076705932617,0.056642775655175476,0.7979748782829251,0.13575892732558495,0.9611525463148625,0.555859706945485,0.0,0.0,0.555859706945485,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,11,79574022,3.8773257732391357,0.06293606804835511,0.7555192643877353,0.12284185744589314,0.9405619820168277,0.47423406665435813,0.0,0.0,0.47423406665435813,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,12,250947486,4.058699607849121,0.07445887238468928,0.7344463721581982,0.20896447349528294,0.9697451977929415,0.5568961028884662,0.0,0.0,0.5568961028884662,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,13,2129971703,4.084993362426758,0.06837474940643876,0.6951889417477625,0.1208208551333592,0.9680053958879274,0.5952339935471405,0.0,0.0,0.5952339935471405,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,14,1732742425,3.967588186264038,0.06655802252633417,0.7398805679582268,0.17578994119169378,0.9239595644909814,0.43407338893273834,0.0,0.0,0.43407338893273834,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,15,1178193646,3.8774778842926025,0.07288317333271654,0.795542770423363,0.19498612439976676,0.9445139097664987,0.4348573450070156,0.0,0.0,0.4348573450070156,10.0,14.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,0,1724732347,5.874944448471069,0.08341182914516143,0.6382837096245481,0.1560353320890084,0.9660751622601262,0.5954724866095756,0.1584157109698575,0.02329867263302772,0.4137581030066903,14.0,10.0
