ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,1136163917,4.079632520675659,0.07255606943252797,0.8198062347905436,0.17889661575038074,0.9539951429120415,0.5154176135060956,0.0,0.0,0.5154176135060956,12.0,12.0
1,600597301,4.148577451705933,0.054438298480330716,0.6762499039458147,0.10286069364516277,0.9614175082437878,0.5549479742722899,0.0,0.0,0.5549479742722899,13.0,11.0
2,1975687421,4.073981285095215,0.05594768344382795,0.7299683502472601,0.21877612371242236,0.9368374013887683,0.4348401749939629,0.0,0.0,0.4348401749939629,10.0,14.0
3,1316841033,4.274245977401733,0.06896966891649912,0.6264083545569887,0.19126476807001375,0.9753756796620116,0.7157862570065451,0.0,0.0,0.7157862570065451,17.0,7.0
4,547955011,4.025187015533447,0.075655832155935,0.7978377112574548,0.1894259324318843,0.9557978625606363,0.43563774433008357,0.0,0.0,0.43563774433008357,10.0,14.0
5,776696670,4.096279859542847,0.0712224663629448,0.8652428564713371,0.14626290906922582,0.9651911912778388,0.5961487018753364,0.0,0.0,0.5961487018753364,14.0,10.0
6,159306689,4.133873701095581,0.05898268686738974,0.7360809398969879,0.18042493039536545,0.9520429917304861,0.43614593108159094,0.0,0.0,0.43614593108159094,10.0,14.0
7,874363302,3.9609856605529785,0.05397045668639664,0.6270340112338899,0.16544561463499008,0.9618168580926071,0.5959241061467584,0.0,0.0,0.5959241061467584,14.0,10.0
8,1427834260,3.910576820373535,0.07716736218235427,0.8161198915202929,0.21789127422426105,0.9220367946885203,0.39469336490830026,0.0,0.0,0.39469336490830026,9.0,15.0
9,1849364641,4.044556140899658,0.05969321144457801,0.7221458970274152,0.12400313091815449,0.9488692301324229,0.5948933029726586,0.0,0.0,0.5948933029726586,14.0,10.0
10,1371273618,3.931976079940796,0.06665058848573852,0.7108709241270852,0.1547145886958352,0.9441465672476639,0.3953930716675947,0.0,0.0,0.3953930716675947,9.0,15.0
11,1138550163,3.9411168098449707,0.07646058772530671,0.6649926047360339,0.12415690915992907,0.9534947348934285,0.4352274271543465,0.0,0.0,0.4352274271543465,10.0,14.0
12,1741905008,3.923369884490967,0.07885070059539935,0.7311455503400148,0.17012233000151333,0.9631427227253647,0.5148831266956875,0.0,0.0,0.5148831266956875,12.0,12.0
13,1906059605,3.9836905002593994,0.062216359231981204,0.7843184776978458,0.22725864285185426,0.9437960123515713,0.5156721394558204,0.0,0.0,0.5156721394558204,12.0,12.0
14,738367469,3.9987823963165283,0.05768691477509567,0.7585306062026502,0.16309441103418387,0.9653898878463181,0.5545118000140379,0.0,0.0,0.5545118000140379,13.0,11.0
15,1779158809,3.809941291809082,0.062310047980585904,0.7256763225218122,0.15997816937944095,0.933629753928314,0.5551218511134415,0.0,0.0,0.5551218511134415,13.0,11.0
