ID,Seed,Sensitivity distribution for CIP,Specificity distribution for CIP,Sensitivity distribution for TET,Specificity distribution for TET,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Constant dist. of % I-0,Constant dist. of % I-1,Constant dist. of % I-2,Constant dist. of % I-3,Constant dist. of % I-4,Constant dist. of % I-5,Constant dist. of % I-6,Constant dist. of % I-7,Constant dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Fitness-f_min-0,Fitness-f_min-1,Fitness-f_min-2,Fitness-f_min-3,Fitness-f_min-4,Fitness-f_min-5,Fitness-f_min-6,Fitness-f_min-7,Fitness-b-0,Fitness-b-1,Fitness-b-2,Fitness-b-3,Fitness-b-4,Fitness-b-5,Fitness-b-6,Fitness-b-7,Fitness-t_mid-0,Fitness-t_mid-1,Fitness-t_mid-2,Fitness-t_mid-3,Fitness-t_mid-4,Fitness-t_mid-5,Fitness-t_mid-6,Fitness-t_mid-7,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
0,825563396,0.9907537458684632,0.9870162821192221,0.8479322179931857,0.9573976147246894,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04707645146407116,0.038178299126729445,0.9618217008732706,"[0.11907662019123474, 0.002295212104903918, 0.5352015622952876, 0, 0.34342660540857367, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11907662019123474,0.002295212104903918,0.5352015622952876,0,0.34342660540857367,0,0,0,2.1096424407057093,1,0.9645564145826278,0.9405375812710395,0.9982749476775337,0.9842609244081493,0.8598217956004484,0.8304390296054586,0.821676068855304,0.3195343506522077,0.33654788134452374,0.4502371997278892,0.2903905229930289,0.44981827434073585,0.4210737169289994,0.41907838385546325,0.40474850325819234,9.097130615279447,10.67486327156263,12.976317647605637,8.008298059323607,10.236341456312012,12.147224170227478,9.647841777176719,7.819679354709337,1.0,0.9997148550480897,0.999733928663689,0.9999876066798001,0.9999792971269286,0.9993721431407365,0.9997258566075911,0.999828519512355,-3.4841988112049767,-4.927871713032431,-3.4369361603972024,0.6265399430495933,4.858620157778592,1.6572678909381828,0.023878432276966084,0.007639067284055286,1500,0.9529235485359289,0.00032794513211567344,1.1806693440228602e-05,0.00036564853657821344,0.2058197528364122,0.6034027482629244,41.87879624595927,130.90603378860916,2.1096424407057093,2.109040886813406,2.1090811253223722,2.1096162952314343,2.1095987650460333,2.108317887228719,2.1090640961702443,2.1092806781912206,26491274.64929882,1308725.3507011782,5949.652362541996,114.68006146417132,26741.2967754078,0.0,17159.278714389508,0.0,0.0,0.0,149888.9391575427,2889.1222054597984,673690.555535311,0.0,432291.82588906126,0.0,0.0,0.0
1,1765374533,0.9761180405793288,0.9823055730232746,0.8472226230229032,0.9596115719954155,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05090321793549768,0.0121476409041003,0.9878523590958997,"[0.10567370588999882, 0.0061149672539527935, 0.5311775933965612, 0, 0.3570337334594872, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10567370588999882,0.0061149672539527935,0.5311775933965612,0,0.3570337334594872,0,0,0,1.732255223184956,1,0.9665649507514893,0.9073622427710369,0.921937753641582,0.9307473123570765,0.902492503769161,0.9262706956936807,0.9886463774580289,0.3896182145793383,0.3760757461120522,0.11126676844574922,0.44451741169172465,0.3072360501283484,0.17588802177283142,0.14320376734490203,0.2872733366268151,9.718608263500172,12.862410418546688,10.081568312809841,8.070330158593812,9.707171592452125,8.256648983729358,12.1096042789734,10.619576700356575,1.0,0.9996529375527508,0.9851724531697167,0.9999575751791345,0.9993712106431033,0.995111331304744,0.9899231686289116,0.9998195092496484,-3.8339182901237696,-3.7829160251887703,-3.7191636777460584,0.5331323787875544,3.830829841135974,1.8644165921579947,0.033407926420604396,0.035360012602544635,1500,0.9490967820645023,0.00014658236008457663,0.00016484811096146996,0.00019091336049893435,0.26104004653557394,0.5363608134609745,29.93301611749385,28.280532907050954,1.732255223184956,1.731654022447937,1.7065701277411782,1.7321817325674191,1.7311659995371886,1.723786801303178,1.714799579409234,1.7319425671399227,26384890.54139316,1415109.4586068352,1816.5565290090437,105.11776412391109,9131.071132796867,0.0,6137.496117221799,0.0,0.0,0.0,147723.3042019651,8548.230236015752,742543.3654826925,0.0,499104.3171430102,0.0,0.0,0.0
2,825253156,0.9908641373823147,0.9919316342770983,0.8565139787379161,0.957764015415963,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05015147075535589,0.0006367313416744736,0.9993632686583255,"[0.09391461697680581, 0.0034035453000703913, 0.5690648717131322, 0, 0.3336169660099916, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.09391461697680581,0.0034035453000703913,0.5690648717131322,0,0.3336169660099916,0,0,0,1.9122989785231037,1,0.9897839729154632,0.9023632693076531,0.9285260420292619,0.8363254337144708,0.8442958615531981,0.9825295629652454,0.9759135081873732,0.18363520869718342,0.4300719353628468,0.35601004973404315,0.17041864873960857,0.42639837196145214,0.13516865014620275,0.23862620436414234,0.3281286703021348,8.258125648061991,9.405993199956223,12.640759851154334,7.585414505073513,11.508534489183958,8.281037575864126,9.467732009980406,11.437441543486123,1.0,0.999987418761456,0.9988077996009672,0.9964937740978121,0.9994778779759579,0.9852511842121257,0.9995792372281557,0.9997202849375177,-3.1031671922744213,-3.325131052779446,-3.0199094367778097,0.6679599477499765,4.156606926788104,2.879271474158722,0.013708676191884598,0.019294072980277507,1500,0.9498485292446441,0.0007885564850866567,0.0004730085022943589,0.00095519175093731,0.2405808433689737,0.3473100779051007,72.94650380552356,51.82938828013166,1.9122989785231037,1.9122749194334876,1.9100191349178386,1.9055940263118787,1.9113005251098636,1.8840948331575262,1.9114943543043053,1.9117640796948414,26405789.113001104,1394210.8869988937,83.37155251916906,3.021455710203981,505.18037943510814,0.0,296.16438099148235,0.0,0.0,0.0,130853.4098848746,4742.238456041851,792891.2591716426,0.0,464836.2417176786,0.0,0.0,0.0
3,1344319995,0.9781953330341734,0.9751558998279565,0.8547992472158069,0.9726960303169423,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.039003169692820736,0.012394040790781526,0.9876059592092185,"[0.10435041597365574, 0.0029114012725125057, 0.5286004253811086, 0, 0.3641377573727232, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10435041597365574,0.0029114012725125057,0.5286004253811086,0,0.3641377573727232,0,0,0,2.2014192216453012,1,0.9579016954293131,0.9187919316434321,0.9940578435632921,0.8011310434747659,0.8324436808431283,0.8677684414309181,0.7892769318426569,0.30068585894533995,0.3538621458719666,0.2429937066538384,0.2626694303461715,0.12068394566737967,0.2824307006044234,0.30996773921842313,0.404934656462019,9.261062996664556,10.789892354122426,7.976342697989302,10.55519573109792,7.27794433886261,9.807368179552473,11.17603070191735,10.272464056886298,1.0,0.9997242274659719,0.9987171012267999,0.9998685919357893,0.9789985370882813,0.9977244733708073,0.9981928157707372,0.9994555313204502,-3.405714434914365,-4.519255105894425,-4.634671917021894,0.5879161936360304,4.722251521714091,1.4591339081921175,0.018718154612168934,0.011975090338576149,1500,0.9609968303071793,0.00039290319922932916,3.0251359320875682e-05,2.3191459616279693e-05,0.21176339197557575,0.685338058683737,53.424069878655985,83.50667692072719,2.2014192216453012,2.20081213068809,2.1985950236265532,2.2011299374068685,2.155186197508773,2.1964098335844304,2.197440851545948,2.2002206178285566,26715711.88253958,1084288.1174604164,1402.3350993581435,39.125480762731044,7103.708434039359,0.0,4893.542142603878,0.0,0.0,0.0,111743.58099292842,3117.6723241817144,566051.4516912183,0.0,389936.701295324,0.0,0.0,0.0
4,1831654319,0.9823821598770677,0.9687424212925864,0.8510188305958958,0.9609188270382026,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.03827713607766786,0.006378788016392906,0.9936212119836071,"[0.08779189683675437, 0.006391037204796726, 0.5579151948556583, 0, 0.3479018711027906, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.08779189683675437,0.006391037204796726,0.5579151948556583,0,0.3479018711027906,0,0,0,2.584618094957496,1,0.9249452354934935,0.9494249768420904,0.9892279279379603,0.9204480466405653,0.9738462963528856,0.8054273555839482,0.7418252071997878,0.20805942069986205,0.27575764278991344,0.10162342100171791,0.3255581906067204,0.2937944083371812,0.1959240195692892,0.19937325441268292,0.4230363553155895,7.480843748323984,8.257287587569554,7.5668985272164075,7.273621881495469,8.5477096262481,7.85530974757452,10.38391325394593,9.53147773623871,1.0,0.9992616198170368,0.9926370364993204,0.9999663210206301,0.9993684017973556,0.999118034344443,0.9899502203987084,0.9996259721086292,-4.107676343301148,-4.942666084605623,-4.620814305010772,0.6176774964019782,4.218802015396076,1.3141063745184116,0.021095924355258425,0.03599437536068472,1500,0.9617228639223321,7.804114932538254e-05,1.1411268269505373e-05,2.3943393056083674e-05,0.23703411450705789,0.7609734032121075,47.40252112966728,27.78211845543684,2.584618094957496,2.5827096641756513,2.565587646261128,2.584531047657997,2.5829856548141987,2.5823385505650123,2.558643252749663,2.5836513757014403,26735895.617040828,1064104.3829591663,595.9047321182654,43.38041950003569,3786.958896142493,0.0,2361.452238450304,0.0,0.0,0.0,92823.83748017103,6757.35028177926,589893.0452692809,0.0,367842.45364172413,0.0,0.0,0.0
5,2103822550,0.9817622710504896,0.9907015452454527,0.864051099089124,0.9749057327828783,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.036777000068490315,0.04397668057161185,0.9560233194283881,"[0.12082216764697391, 0.00134525231801617, 0.5062294097427084, 0, 0.37160317029230155, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.12082216764697391,0.00134525231801617,0.5062294097427084,0,0.37160317029230155,0,0,0,1.88154951402092,1,0.9927707381851916,0.961113012049317,0.9920096086852659,0.9727058210610986,0.908407274766802,0.8508778364785741,0.9456584245205619,0.3106262275409351,0.443059411065834,0.3043077590663182,0.45330961903676514,0.433846951123796,0.33077024363399465,0.32675523506025406,0.10901928330316918,7.308201402276825,8.217615881236489,12.913432460898193,8.177021309024116,10.236999338320382,10.434361563408284,7.117815581006642,12.428989224093659,1.0,0.9999957016784492,0.9990359649857423,0.999996071715968,0.9999545677053343,0.999260861187796,0.999566108873043,0.9889751416174167,-4.645069953252342,-4.286545182464398,-4.546803277316357,0.503055278739492,4.970641541050852,1.452136010592894,0.003930442708993559,0.008217290818940839,1500,0.9632229999315097,2.2642795632008452e-05,5.169574727408107e-05,2.8392048138533794e-05,0.20118127443738143,0.6886407283514091,254.42426567160496,121.6946098214027,1.88154951402092,1.881541426516095,1.8797356344083442,1.8815421227600087,1.881464030908971,1.8801587877480235,1.880733126381856,1.860805697089021,26777599.398095965,1022400.6019040307,5432.380287058036,60.48494507119697,22760.977722652126,0.0,16707.941731375886,0.0,0.0,0.0,118096.2766385578,1314.9018345813276,494808.27549981506,0.0,363219.3632449192,0.0,0.0,0.0
6,1783854495,0.9838890994649516,0.9742593805884217,0.8340108056905521,0.974224454159364,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.0340279046841885,0.008766141403540878,0.9912338585964591,"[0.10821944375193279, 0.005306867781783194, 0.5240290230058752, 0, 0.36244466546040877, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10821944375193279,0.005306867781783194,0.5240290230058752,0,0.36244466546040877,0,0,0,2.334740176527839,1,0.9273602125066333,0.9761206493492779,0.9849935830975419,0.8034832178802821,0.9147146905502633,0.9866740733317175,0.7650068599049985,0.4516317165792024,0.2458329031989071,0.34167382540691804,0.4557795780087248,0.24569754088877535,0.12362851763375225,0.18960224754728694,0.463709702393478,8.321617918245583,9.530057847968141,8.140419644105195,11.57582396344041,8.938367648748855,9.20431849932759,12.245800766967855,10.818914305986741,1.0,0.9984078935046118,0.9999245328581285,0.9999667413750064,0.9962568114880195,0.9893813262008833,0.9989063713650488,0.999670057950061,-3.4383439879489166,-3.6865321828747635,-4.400660188130697,0.5990775758282199,3.092713163902969,1.5415746984603333,0.03706550960674005,0.02806256733226681,1500,0.9659720953158115,0.0003644651537448413,0.000205810637137227,3.975024519234346e-05,0.3233406872876667,0.6486873461265045,26.97925944118568,35.634658374616464,2.334740176527839,2.3310230215277454,2.3345639803597042,2.3346625262798506,2.326000803920601,2.3099483321875978,2.332186837815617,2.3339698475679205,26854024.249779556,945975.7502204402,897.4159264643849,44.00750458420188,4345.540642890663,0.0,3005.5931168137945,0.0,0.0,0.0,101475.55356520897,4976.160726608838,491373.2075323764,0.0,339858.27120549284,0.0,0.0,0.0
7,2061598327,0.98197378510435,0.993689919107978,0.8085909388231383,0.9636804425080708,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.032092644315139085,0.04818508575951955,0.9518149142404805,"[0.11378563274385413, 0.00196678665429167, 0.5195616616515465, 0, 0.36468591895030766, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11378563274385413,0.00196678665429167,0.5195616616515465,0,0.36468591895030766,0,0,0,1.9185966207698517,1,0.9193552980046196,0.9914303151314473,0.9038910545539419,0.9684240301999713,0.8946903312589238,0.8804548834818292,0.7280791846016188,0.20688356193075835,0.2793287148101884,0.46859695739169516,0.43882980725693477,0.49418969212176955,0.20368635535812887,0.20527204361572646,0.3783482599170307,11.568892321676792,10.991129331821602,12.894498414599681,12.796735346587933,12.50099586434063,8.41465631095906,9.131692341039697,7.401905342049658,1.0,0.998412028261674,0.9999703656999046,0.9995443304017936,0.9999339321815761,0.9965133377189054,0.9955522171008853,0.999648910337881,-3.0035570176171644,-4.097898755778282,-3.3336127573532623,0.5267674291618712,3.8265476159645595,1.58518576769628,0.027968804735145594,0.008924888047539317,1500,0.967907355684861,0.0009918431136760272,7.981807402169345e-05,0.0004638603407087449,0.26133217206757,0.6308408896789938,35.75411997293543,112.04622340060727,1.9185966207698517,1.9155499435588215,1.9185397645018298,1.9177223746185452,1.918469863276682,1.9119071222995778,1.9100631195296922,1.917923021330523,26907824.488039132,892175.5119608664,4891.59355278823,84.55128020864049,22335.7238794097,0.0,15677.684843971034,0.0,0.0,0.0,96625.16159425095,1670.16761000183,441204.4675997973,0.0,309686.16160043876,0.0,0.0,0.0
8,1200433042,0.9958770970607191,0.9918383149979871,0.858329227268798,0.9608489101994913,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.03316018762984517,0.039624966796978314,0.9603750332030216,"[0.10332810986873203, 0.0025980954240922526, 0.5564134573395882, 0, 0.3376603373675874, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10332810986873203,0.0025980954240922526,0.5564134573395882,0,0.3376603373675874,0,0,0,2.3608614699654,1,0.9412561309003974,0.910393707958062,0.9462460036800266,0.8376273794919609,0.9921914981169242,0.9065629606016171,0.985548174526141,0.17188185420309238,0.17836434337799645,0.14858165139086243,0.3929891936203477,0.1537141493868613,0.1313936255279413,0.22968233040367345,0.2688507456055048,8.988928667195689,12.527534866961334,8.38500161795699,8.801611944019987,12.311447129845632,9.53047063895419,11.924026045604922,9.403049052587276,1.0,0.994251227145825,0.9929848255490786,0.999907036365185,0.9797308258385158,0.9990935761181626,0.9955640347471778,0.9997839666147329,-3.975538740011845,-3.1728259712259943,-4.849874860139401,0.4933645938064415,1.9419929377295426,1.6177661711292906,0.013208442914400154,0.008034711519503114,1500,0.9668398123701548,0.00010579405411910741,0.0006716979591649843,1.4129446191498157e-05,0.5149349313129521,0.61813630291326,75.70915106956147,124.45997564102244,2.3608614699654,2.347289413634395,2.3442996148991337,2.360641995701857,2.3130087576595333,2.3587215287473136,2.3503887705179065,2.3603514450698966,26878146.7838903,921853.2161096956,3774.41084678312,94.90427689163462,20324.895048855982,0.0,12334.19290750362,0.0,0.0,0.0,91478.93955024348,2300.158345567692,492606.64008635835,0.0,298939.07504749164,0.0,0.0,0.0
9,969431034,0.9634148592928389,0.9775191661341173,0.8193617219950559,0.9754463964883224,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04890011049491654,0.02616584446800188,0.9738341555319981,"[0.10139421461381956, 0.00267578617242957, 0.535200258187386, 0, 0.3607297410263648, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10139421461381956,0.00267578617242957,0.535200258187386,0,0.3607297410263648,0,0,0,2.427010586918456,1,0.9918753329577807,0.9581768529774051,0.9958891983910676,0.9485109005222183,0.9048287109603911,0.9791908106516208,0.8105065129996915,0.32690684705702694,0.39740846721610834,0.3063755530747494,0.43112898791597787,0.25277991963959323,0.27568986865311024,0.2709842333108853,0.4568777636566518,11.237520261592993,7.025458154704866,9.338902842270057,7.45672841889631,10.684230265965823,12.15871954066776,9.86814272928456,8.410065799689885,1.0,0.9999935358505784,0.9996559935261332,0.9999978494404537,0.9986489234879385,0.9973033107549543,0.9996591806602751,0.9999024066990636,-3.454522342705393,-4.9679328099703675,-3.065697453237057,0.6036982218515787,1.476169101205522,3.2266034114412316,0.03488552306319856,0.002849900829445463,1500,0.9510998895050835,0.00035113785942018195,1.0766317672653147e-05,0.0008596121528893266,0.6774291638968355,0.3099234310774278,28.665185790346374,350.88940277075574,2.427010586918456,2.4269948983593745,2.426175679564413,2.4270053674876695,2.4237315099199463,2.420465693571101,2.4261834147727175,2.426773726943871,26440576.928241316,1359423.0717586796,3606.6381111064265,95.17892537964141,19037.315448464833,0.0,12831.320176900068,0.0,0.0,0.0,134230.99657777097,3542.3465325139646,708526.2635426699,0.0,477553.01244387374,0.0,0.0,0.0
