Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,0,625657653,4.5389463901519775,0.07139090869348147,0.6840120714907237,0.21087932321189928,0.9574980505821953,0.3968646819586594,0.0,0.0,0.3968646819586594,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,1,1698271443,4.515839338302612,0.0844815314228725,0.767954122735562,0.17616310522220371,0.950899651444301,0.49544803714303265,0.0,0.0,0.49544803714303265,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,2,537762751,4.433715343475342,0.08160766455773343,0.6652669968708013,0.21519765157262843,0.9453254888176678,0.39544025622673945,0.0,0.0,0.39544025622673945,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,3,574269003,4.375207185745239,0.06594484037178809,0.6997648394050258,0.1521216269981625,0.95542060144205,0.46326265265285177,0.0,0.0,0.46326265265285177,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,4,1375843275,4.423237562179565,0.08394647073377771,0.6388930006170938,0.18025129370492748,0.9510910719085407,0.4629337675217343,0.0,0.0,0.4629337675217343,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,5,1306270088,4.422084331512451,0.060910166830365736,0.6520995748253959,0.14445706619521473,0.9522636281512834,0.4628351065534476,0.0,0.0,0.4628351065534476,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,6,1238154541,4.785888671875,0.08082438384131603,0.7262955589684277,0.2310048944654278,0.9604819132416694,0.4958551260573165,0.0,0.0,0.4958551260573165,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,7,230554038,4.609596490859985,0.07422077354090652,0.634055328560591,0.12966892325353382,0.948492309522398,0.3960320089347038,0.0,0.0,0.3960320089347038,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,8,1913423023,4.397764444351196,0.07529669606451052,0.6949232996923201,0.15009598706005303,0.9527904806100513,0.36385161432630675,0.0,0.0,0.36385161432630675,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,9,32646995,4.453336954116821,0.07620526961447756,0.817273814509235,0.20784537764313987,0.9473295858536215,0.49588318468628706,0.0,0.0,0.49588318468628706,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,10,1220271111,4.419019460678101,0.0730482623091025,0.548087872888843,0.13874951163971588,0.9569423697808163,0.4298862048640874,0.0,0.0,0.4298862048640874,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,11,963240097,4.406458377838135,0.06885053388736698,0.7137680363705704,0.13857485843909925,0.9633314180027204,0.4298423285042455,0.0,0.0,0.4298423285042455,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,12,1521599456,4.521400213241577,0.07466315491543554,0.8135607321769099,0.21816487748529137,0.943215393399491,0.4291324156918923,0.0,0.0,0.4291324156918923,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,13,937759813,4.531468152999878,0.07108831614298251,0.8221786395838174,0.1782164915729598,0.9380377265919504,0.494770742718072,0.0,0.0,0.494770742718072,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,14,865822978,4.37677001953125,0.07087691667293766,0.9197906047895653,0.19543963966023561,0.9403203779560677,0.4287651287160631,0.0,0.0,0.4287651287160631,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,15,947449799,4.437710762023926,0.054816411191219425,0.7303357767960759,0.14493311050506866,0.9474791740280576,0.46255157379423995,0.0,0.0,0.46255157379423995,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,16,1782950357,4.620785713195801,0.06480154283001369,0.7849458945738753,0.21117966905911104,0.9470775885356163,0.495945931839405,0.0,0.0,0.495945931839405,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,17,1083503118,4.5627195835113525,0.08436862308788183,0.6971680126994465,0.18965712937750104,0.945634414652677,0.39565052706672355,0.0,0.0,0.39565052706672355,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,18,1437994672,4.45315957069397,0.0528709461665452,0.760277846919865,0.15983624899587506,0.9297068725356239,0.3945636378678437,0.0,0.0,0.3945636378678437,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,19,1562885644,4.4845874309539795,0.051199598493947014,0.5733122744506256,0.17619209100842273,0.9464240204024233,0.4954519541762973,0.0,0.0,0.4954519541762973,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,20,1709144406,4.326303482055664,0.08105245942190517,0.7441186547950839,0.16717418514823332,0.9582041421494019,0.39708812164641966,0.0,0.0,0.39708812164641966,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,21,553549746,4.3439555168151855,0.06015738875166265,0.7416335660482861,0.2183319874012124,0.947782744998857,0.39591919037148066,0.0,0.0,0.39591919037148066,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,22,253942920,4.344818592071533,0.08388068716849362,0.8317808411222255,0.1471017103139017,0.9608088638160995,0.42975905927309455,0.0,0.0,0.42975905927309455,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,23,145511905,4.4377121925354,0.07942239392168737,0.8571688612669605,0.1416362339981957,0.9598323027530472,0.49573480614012433,0.0,0.0,0.49573480614012433,14.0,15.0
