Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,0,2081558133,4.771845579147339,0.09331110133127571,0.771881261893158,0.23132272418469596,0.953221252296614,0.7354443914993468,0.42547412431664244,0.0,0.0,0.42547412431664244,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1,1497058120,4.736921072006226,0.07794651070145067,0.6790395244861983,0.15401922747827912,0.9542267623945411,0.822239529861057,0.396379859075464,0.0,0.0,0.396379859075464,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,2,729400634,4.9377946853637695,0.08604531763404993,0.8505576290308906,0.20745071268243578,0.9562104821881166,0.7696776898130325,0.39691120884102526,0.0,0.0,0.39691120884102526,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,3,1763909319,4.680938243865967,0.09061003153690075,0.6891749167023095,0.17944591596091267,0.9567091237753605,0.7945219920914787,0.31201952352147827,0.0,0.0,0.31201952352147827,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,4,1489933983,5.064754486083984,0.07329264775022679,0.7571056164448629,0.15302863410973708,0.9443074405282165,0.8110792466765094,0.3965727817373803,0.0,0.0,0.3965727817373803,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,5,2020945875,4.72092604637146,0.08010872478440027,0.7107450637359037,0.20147694772514044,0.954965805769448,0.7691887399908357,0.34022971840831384,0.0,0.0,0.34022971840831384,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,6,453741709,4.815757751464844,0.09089571540400847,0.7454557704334926,0.19460734342768718,0.9510623092997315,0.7860701264641231,0.31158785788654964,0.0,0.0,0.31158785788654964,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,7,811108630,4.544981002807617,0.06893437827699506,0.7486162809411455,0.14755367091953997,0.9571744251872523,0.8175028066098357,0.3977730490874586,0.0,0.0,0.3977730490874586,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,8,1299892732,5.05245566368103,0.07662538307045594,0.6581256838626691,0.1920611342807393,0.9381313389792889,0.7786277585136041,0.4519332482592059,0.0,0.0,0.4519332482592059,15.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,9,1657653389,4.82306694984436,0.07714270760531737,0.7337206684966102,0.18570045892538647,0.9515541306945045,0.7997952390843154,0.31134269906825696,0.0,0.0,0.31134269906825696,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,10,1522912140,4.888505697250366,0.08922028724649558,0.5847311859869013,0.1448489282904762,0.9447298044616742,0.8261596675478107,0.3402387464108847,0.0,0.0,0.3402387464108847,11.0,23.0
