Transmission parameter,"2.15 (1.77, 2.55)"
Time until natural recovery,"3.64 (1.59, 4.94)"
Time until screened,"1.8 (1.24, 3.14)"
Time until seeking treatment (symptomatic),"8.25 (2.27, 13.3)"
Time until seeking retreatment (symptomatic),"5.79 (1.47, 13)"
Prob symptomatic,"56.4% (45.8%, 65.8%)"
Exponent for the prob of resistance by antibiotics-0,"-3.76 (-4.88, -3.03)"
Exponent for the prob of resistance by antibiotics-1,"-4.12 (-4.96, -3.21)"
Exponent for the prob of resistance by antibiotics-2,"-4 (-4.8, -3.03)"
Fitness-f_min-0,"1 (1, 1)"
Fitness-f_min-1,"0.961 (0.921, 0.993)"
Fitness-f_min-2,"0.94 (0.904, 0.988)"
Fitness-f_min-3,"0.967 (0.908, 0.998)"
Fitness-f_min-4,"0.893 (0.802, 0.981)"
Fitness-f_min-5,"0.9 (0.835, 0.988)"
Fitness-f_min-6,"0.897 (0.812, 0.986)"
Fitness-f_min-7,"0.868 (0.732, 0.996)"
Fitness-b-0,"0.301 (0.175, 0.448)"
Fitness-b-1,"0.323 (0.192, 0.44)"
Fitness-b-2,"0.282 (0.104, 0.464)"
Fitness-b-3,"0.361 (0.193, 0.455)"
Fitness-b-4,"0.329 (0.129, 0.483)"
Fitness-b-5,"0.225 (0.126, 0.398)"
Fitness-b-6,"0.269 (0.155, 0.426)"
Fitness-b-7,"0.345 (0.149, 0.462)"
Fitness-t_mid-0,"9.1 (7.35, 11.5)"
Fitness-t_mid-1,"10.2 (7.32, 12.8)"
Fitness-t_mid-2,"10.4 (7.67, 13)"
Fitness-t_mid-3,"8.97 (7.32, 12.5)"
Fitness-t_mid-4,"10.4 (7.6, 12.6)"
Fitness-t_mid-5,"9.49 (7.96, 12.2)"
Fitness-t_mid-6,"10.5 (7.62, 12.2)"
Fitness-t_mid-7,"9.89 (7.51, 12.2)"
Initial prevalence,"4.11% (3.24%, 5.07%)"
Initial % I by symptom states-0,"2.3% (0.207%, 4.71%)"
Initial % I by resistance profile-0,"10.7% (8.93%, 12.1%)"
Initial % I by resistance profile-1,"0.383% (0.15%, 0.694%)"
Initial % I by resistance profile-2,"53.9% (51%, 56.9%)"
Initial % I by resistance profile-3,"0% (0%, 0%)"
Initial % I by resistance profile-4,"35% (31%, 37%)"
Initial % I by resistance profile-5,"0% (0%, 0%)"
Initial % I by resistance profile-6,"0% (0%, 0%)"
Initial % I by resistance profile-7,"0% (0%, 0%)"
