Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,0,201255546,4.151138782501221,0.07111239872120845,0.7882089913070311,0.13149196773457503,0.9611650692086785,0.5941210865137048,0.0,0.0,0.5941210865137048,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1,720098724,4.17710018157959,0.0731658615885263,0.6601728962581696,0.17515729844882205,0.9707787597578184,0.6359342578327198,0.0,0.0,0.6359342578327198,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,2,1680835334,4.0994768142700195,0.07927093083034976,0.7602538479510709,0.18223686134850228,0.9660713565013368,0.5965472087375394,0.0,0.0,0.5965472087375394,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,3,1802331721,4.12619161605835,0.07107209799598531,0.8221882318780933,0.20378195559903398,0.9651015248306956,0.636442756605146,0.0,0.0,0.636442756605146,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,4,351049798,4.050025939941406,0.05408563706576206,0.7818412921460904,0.18922510343364646,0.9675047967268722,0.596749379366398,0.0,0.0,0.596749379366398,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,5,330929624,3.864190101623535,0.07374197630309098,0.7438247662787311,0.28078671436349917,0.9262600339067899,0.3166660347507747,0.0,0.0,0.3166660347507747,7.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,6,825563396,4.056609153747559,0.06329216534031751,0.5950299252067379,0.16125251802312193,0.933119055889986,0.47443059096958207,0.0,0.0,0.47443059096958207,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,7,1765374533,4.026273727416992,0.05880907253335316,0.6259700821541234,0.16668525241162313,0.927725172844863,0.5139199872215444,0.0,0.0,0.5139199872215444,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,8,1857153899,4.025273323059082,0.06394361869489544,0.7007816882789186,0.135619586810254,0.9642674341392656,0.4756142842002348,0.0,0.0,0.4756142842002348,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,9,323249829,4.02595329284668,0.07021699571467564,0.7370731366824137,0.1395205022150895,0.9686280656394652,0.5944634274359248,0.0,0.0,0.5944634274359248,14.0,10.0
