ID,Seed,LnL,Probability,Message,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
42,176492263,-11.298892805174951,0.33178661974015095,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.052046355684757274,0.04137799291451929,0.9586220070854807,"[0.12359452919759636, 0.001520994149508639, 0.5738726829254003, 0, 0.30101179372749476, 0, 0, 0]",0.12359452919759636,0.001520994149508639,0.5738726829254003,0,0.30101179372749476,0,0,0,2.2509915413501913,1,0.9882079999388925,0.9233969876887166,0.9993518601000015,0.9070261820485652,0.9672491101699556,0.8490378231451514,0.8205122636882225,-3.2585444990350707,-3.810640600176952,-4.0551166841598985,0.46145328271383756,1.6171705603380009,1.9064996019909504,0.015830117877068665,0.00293724137754433,1500,0.9479536443152428,0.0005513857029560791,0.0001546533742071902,8.80812188816542e-05,0.6183639651410624,0.5245214837473366,63.17072353886821,340.45550619201964,2.2509915413501913,2.2244478489570376,2.078558808595548,2.2495325839176834,2.041708263574479,2.1772695653710694,1.9111769581861155,1.8469661651362865,26353111.311963744,1446888.688036252,7399.524111990205,91.06093090489387,34357.384441588954,0.0,18021.3803971781,0.0,0.0,0.0,171428.00208717826,2109.648298588476,795972.5088561876,0.0,417509.1789126357,0.0,0.0,0.0
118,1493653684,-11.724136684167014,0.2168591732502981,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05666758497057328,0.037907542003055995,0.962092457996944,"[0.08024299889742588, 0.0031571615168912034, 0.5376228066569385, 0, 0.3789770329287443, 0, 0, 0]",0.08024299889742588,0.0031571615168912034,0.5376228066569385,0,0.3789770329287443,0,0,0,1.9515305198135717,1,0.997921038500281,0.9566999981670409,0.99959235575192,0.9773911492433511,0.9026643045797574,0.9708973107009126,0.7531303060594576,-4.709900029751031,-4.841610801766224,-3.867017275589978,0.4580326315275142,1.7178936720295583,2.3400858729288014,0.005365694176211584,0.03833860316042383,1500,0.9433324150294267,1.9502934861588482e-05,1.4400885528679744e-05,0.00013582594159686817,0.5821082039487213,0.42733474509139335,186.36917557348448,26.083370742945583,1.9515305198135717,1.9474733629973529,1.8670292447285683,1.950734989622217,1.9074086575440612,1.7615769395336902,1.8947357334377508,1.4697567776715676,26224641.137818057,1575358.862181937,4791.949982884206,188.53931538835846,32105.74921870872,0.0,22631.74372106699,0.0,0.0,0.0,121619.56945823107,4785.123059585966,814843.1037594256,0.0,574393.0836666462,0.0,0.0,0.0
159,511233635,-11.79589179159546,0.20184358469195904,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05747343816770006,0.013576502458350443,0.9864234975416496,"[0.1008303846553808, 0.004356069926221161, 0.5507124491133705, 0, 0.34410109630502744, 0, 0, 0]",0.1008303846553808,0.004356069926221161,0.5507124491133705,0,0.34410109630502744,0,0,0,2.358411035947811,1,0.9113514099493555,0.959527859570458,0.9264633575332097,0.8096520559933278,0.8476107710541485,0.9641222437767324,0.7066583513317397,-4.944554174374867,-4.033291037119186,-3.4624185468014046,0.45166527981332105,1.3614164897048353,1.9405540992401302,0.01163648490993572,0.015966144814916563,1500,0.9425265618323,1.136176560904214e-05,9.262089278094354e-05,0.0003448112708699689,0.7345290787661952,0.5153167337058903,85.93660437321222,62.63252723761706,2.358411035947811,2.1493412228511577,2.26296109331035,2.1849814068075846,1.9094923441324994,1.9990145966423374,2.2737965397258115,1.6665908544254606,26202238.418937936,1597761.5810620615,2187.214118912127,94.49192996895891,11946.06217439597,0.0,7464.245809869913,0.0,0.0,0.0,158915.70068716494,6865.469242567061,867961.1312315429,0.0,542327.2658676394,0.0,0.0,0.0
151,1881481959,-11.977160396728788,0.16838019013470665,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05085719859613306,0.046279565157040625,0.9537204348429593,"[0.12167193352086474, 0.005035147354587047, 0.5331432504842011, 0, 0.34014966864034724, 0, 0, 0]",0.12167193352086474,0.005035147354587047,0.5331432504842011,0,0.34014966864034724,0,0,0,2.0434634924016124,1,0.9899192055642181,0.9704549084085055,0.9461801974333639,0.8046788684879695,0.9747927485733141,0.9270960286931053,0.8025271175169476,-3.683335849990385,-4.3059364000986715,-3.0540120520775744,0.478573519446761,1.6974607780315252,2.5333764231678892,0.010648949109443492,0.00686985583220243,1500,0.949142801403867,0.0002073309559001641,4.943830812131144e-05,0.0008830553944664192,0.5891152319640979,0.3947301280831921,93.9059798035094,145.56346223635478,2.0434634924016124,2.022863756997687,1.9830891763547314,1.9334846906884289,1.644331890862204,1.9919533943673913,1.8944868885848782,1.639934866308181,26386169.879027497,1413830.1209724988,7961.170207756223,329.4569581581189,34884.332313937324,0.0,22256.483724681733,0.0,0.0,0.0,164062.27428100578,6789.386035292042,718889.6540138118,0.0,458657.36343785573,0.0,0.0,0.0
54,1196383116,-14.496675839595028,0.013554370158407521,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04068511118450643,0.04757214320197052,0.9524278567980294,"[0.11733859549096587, 0.0028909722778016813, 0.5150454826711819, 0, 0.3647249495600504, 0, 0, 0]",0.11733859549096587,0.0028909722778016813,0.5150454826711819,0,0.3647249495600504,0,0,0,2.4452009287917966,1,0.9296764515817773,0.9032740745774344,0.9719435457205516,0.9436412513929565,0.8548582146110535,0.9179485112096919,0.8081196093299298,-3.2018153399791958,-4.694934274906064,-4.331906011059116,0.6157614729578539,3.819693201964431,1.509104373854623,0.015528607849699116,0.011213064781881062,1500,0.9593148888154935,0.000628325463127176,2.0186718415609865e-05,4.656868654212796e-05,0.2618011309090766,0.6626446900062681,64.3972730639454,89.18168399560818,2.4452009287917966,2.2732457228836234,2.208686606110293,2.376597260729085,2.3073924643523105,2.090300100352245,2.2445685521929857,1.9760148193084082,26668953.909070715,1131046.0909292784,6313.554098899155,155.55248294857861,27712.684855585256,0.0,19624.495168283604,0.0,0.0,0.0,126401.80564628963,3114.2704108439248,554827.4949704384,0.0,392896.23329598963,0.0,0.0,0.0
134,11993418,-14.593966780249833,0.012297771604361206,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.055586475118838616,0.04717762882613721,0.9528223711738628,"[0.11140484397769031, 0.001405806187882739, 0.5113931309117863, 0, 0.3757962189226406, 0, 0, 0]",0.11140484397769031,0.001405806187882739,0.5113931309117863,0,0.3757962189226406,0,0,0,1.9824825588075763,1,0.9272834965225727,0.967031755980677,0.9044377914198847,0.8179098198056393,0.9096863761381009,0.8205160416033386,0.9889790549049984,-3.0363630841747327,-3.130705565080329,-3.934696681426745,0.5177154940100078,2.7052258453939158,1.7000068244868813,0.03359037824509664,0.010682603655821611,1500,0.9444135248811614,0.0009196803678495456,0.0007401068689394876,0.00011622600724290409,0.36965490393442074,0.5882329327129809,29.770429874393425,93.61013777339181,1.9824825588075763,1.838323358926106,1.9171235900447563,1.793032147016366,1.6214919524421274,1.8034373746786536,1.6266587417004503,1.9606337273751597,26254695.991696283,1545304.0083037133,8121.834116779286,102.48858353602604,37282.491760929915,0.0,27396.96446604941,0.0,0.0,0.0,164032.51782639534,2069.9093534973335,752975.3632560391,0.0,553322.4389404869,0.0,0.0,0.0
106,1207594076,-14.77898369271476,0.010220557805932484,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.040508561684183264,0.031442712466911625,0.9685572875330883,"[0.11527273180900856, 0.0008008422380095445, 0.5528913667246907, 0, 0.33103505922829113, 0, 0, 0]",0.11527273180900856,0.0008008422380095445,0.5528913667246907,0,0.33103505922829113,0,0,0,2.3339674399240913,1,0.9790935715030016,0.9530769530456016,0.9847786181030881,0.8378307224447014,0.8357538055398122,0.9519196589429241,0.8055842758893553,-4.594399683412529,-3.221266458011627,-3.8012513074516088,0.5943371300102736,3.1698244040255634,1.595477092705266,0.022401572277872494,0.03500095037108985,1500,0.9594914383158167,2.5444874699999486e-05,0.0006008050051264645,0.00015803333040372895,0.3154748883660672,0.626771769129205,44.639723837052536,28.57065277935944,2.3339674399240913,2.2851725165269956,2.2244505761504962,2.298441230186049,1.9554696263540114,1.950622169922572,2.2217494893964305,1.8802074700405815,26673861.9851797,1126138.0148202947,4081.6730020727427,28.356889704140915,19577.23851273305,0.0,11721.565393543253,0.0,0.0,0.0,125731.33236023638,873.5019983921695,603054.7476218897,0.0,361069.5990417232,0.0,0.0,0.0
79,87373479,-14.933593757049044,0.008756454615686913,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.039873201016171436,0.021142735714818006,0.978857264285182,"[0.10247265665536173, 0.0007690316479390483, 0.5741698416309187, 0, 0.3225884700657806, 0, 0, 0]",0.10247265665536173,0.0007690316479390483,0.5741698416309187,0,0.3225884700657806,0,0,0,2.600794285672978,1,0.9886631370796332,0.9035631341409202,0.9623656100867359,0.974449911247204,0.9059294202041359,0.800218632268195,0.9747175609781703,-4.168779852705374,-3.550029611641117,-3.356290095516462,0.576991046649386,1.8764659476883612,1.8408998294739338,0.009958656376517421,0.013621905432283797,1500,0.9601267989838286,6.779850965065339e-05,0.0002818190771100676,0.0004402606845076765,0.5329166784145009,0.5432126093931824,100.41515262621238,73.41116886849095,2.600794285672978,2.5713094373722303,2.349981836018472,2.502914979441772,2.534343760846269,2.356136059289951,2.081204046092168,2.5350398627371282,26691525.01175043,1108474.9882495657,2401.569032690294,18.023174680253277,13456.355638393175,0.0,7560.245877282841,0.0,0.0,0.0,111186.8078492636,834.4291722325275,622996.5528166945,0.0,350021.0046883288,0.0,0.0,0.0
13,790213607,-15.01760979023716,0.008050828984750583,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04516447968537089,0.007637264596902449,0.9923627354030975,"[0.09240221295072555, 0.0028689306202463937, 0.5471830561612762, 0, 0.3575458002677519, 0, 0, 0]",0.09240221295072555,0.0028689306202463937,0.5471830561612762,0,0.3575458002677519,0,0,0,1.9147235846271788,1,0.9452498155188696,0.9553707736146106,0.9162145141809253,0.8322641643245402,0.9660827027443365,0.8692466782283522,0.9188574711861681,-3.2847748445362273,-3.759942778551446,-3.195397393801903,0.5706298055528095,4.525398381765823,1.681330264000314,0.03150409251439369,0.03515373519154974,1500,0.9548355203146291,0.0005190690751546331,0.00017380298117000858,0.0006376797211325985,0.22097502045992184,0.5947671444518846,31.741907802712195,28.446479287366884,1.9147235846271788,1.8098921151384695,1.8292709523034083,1.7542975388799504,1.593555824072227,1.8497813356449493,1.6643671156626585,1.7593580709910446,26544427.464746688,1255572.5352533106,886.0577260171793,27.510576427776073,5247.014751864597,0.0,3428.556618023608,0.0,0.0,0.0,115131.6230515416,3574.6399159008415,681781.0023202036,0.0,445496.13029333146,0.0,0.0,0.0
5,1679190915,-15.067195423822985,0.007661359374294543,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.03939576071746287,0.04833945293833007,0.9516605470616699,"[0.09528283580979065, 0.0031868406790691384, 0.5728294847006289, 0, 0.32870083881051126, 0, 0, 0]",0.09528283580979065,0.0031868406790691384,0.5728294847006289,0,0.32870083881051126,0,0,0,1.8044642729340854,1,0.9545642406692963,0.9479496705407734,0.9946164974257244,0.8925241031334352,0.8524600072976916,0.8663300052166347,0.8980620295663891,-4.91264803901157,-3.0930053306303,-3.5031656495783636,0.5806263057867433,3.9304728800722413,2.3842454973563356,0.003610807760458787,0.025907653648857644,1500,0.9606042392825371,1.2227902325341991e-05,0.0008072251221213296,0.00031393110624008453,0.25442231266117277,0.41941989661249457,276.9463417440259,38.59863241780266,1.8044642729340854,1.7224770685081991,1.7105413130304625,1.7947499348755565,1.6105278568368209,1.5382336272738142,1.5632615429842172,1.6205208472312236,26704797.85205453,1095202.1479454676,5044.413649713335,168.7160387737561,30326.436519484792,0.0,17401.906480596055,0.0,0.0,0.0,99309.5527915047,3321.518718102757,597037.6455311393,0.0,342591.9582161528,0.0,0.0,0.0
